"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"A C BATHS AVENUE","50","S","SPA ROAD","201002802","12/05/2010","Wed","0950","CAR1 NBD on A C BATHS AVENUE hit rear of CAR2 turning right from centre line","CAR1 following too closely, failed to notice car slowing  ENV: entering or leaving other commercial","Dry","Overcast","Fine","Driveway","N/A","0","0","2","1869065","5714428",
"ACACIA BAY ROAD","5","E","ALBERTA ST","2902064","23/03/2009","Mon","2004","VAN1 WBD on ACACIA BAY ROAD lost control but did not leave the road, VAN1 hit Traffic Island, Traffic Sign, Tree","VAN1 alcohol test above limit or test refused, illness and disability","Dry","Dark","Fine","T Type Junction","Nil","0","1","3","1863798","5712208",
"ACACIA BAY ROAD","30","N","ARIHIA ST","201136362","28/07/2011","Thu","0818","CAR1 SBD on ACACIA BAY ROAD hit rear end of SUV2 stop/slow for queue","CAR1 alcohol test above limit or test refused, following too closely, failed to notice car slowing  SUV2 suddenly braked","Dry","Overcast","Fine","Unknown","N/A","0","0","0","1866216","5714033",
"ACACIA BAY ROAD","","I","BRENTWOOD AVENUE","2841717","26/09/2008","Fri","1945","CAR1 WBD on ACACIA BAY ROAD lost control turning right, CAR1 hit Fence, Traffic Island, Traffic Sign, Tree on right hand bend ","CAR1 alcohol test above limit or test refused, lost control when turning","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","0","0","1866063","5713863",
"ACACIA BAY ROAD","100","S","KORUKOMOANA ROAD","201003229","21/06/2010","Mon","1702","CAR1 SBD on ACACIA BAY ROAD lost control; went off road to left, CAR1 hit Cliff Bank","CAR1 lost control, new driver showed inexperience, driver over-reacted","Dry","Twilight","Fine","Unknown","N/A","0","0","1","1864360","5712614",
"ACACIA BAY ROAD","","I","LOCHABER DRIVE","201204458","25/10/2012","Thu","1015","CYCLIST1 (Age 32)NBD on ACACIA BAY ROAD hit CAR2 merging from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Overcast","Fine","T Type Junction","Give Way Sign","0","1","0","1865828","5713686",
"ACACIA BAY ROAD","10","S","MANSELL ROAD","2904624","30/05/2009","Sat","1718","CAR1 SBD on ACACIA BAY ROAD hit rear of CAR2 turning right from centre line","CAR1 failed to notice indication of vehicle in front, attention diverted by cigarette etc  ENV: entering or leaving shopping complex","Wet","Dark","Light Rain","Driveway","Nil","0","0","1","1866246","5714091",
"ACACIA BAY ROAD","90","S","NORMAN SMITH ST","201043302","26/12/2010","Sun","1700","CAR1 NBD on ACACIA BAY ROAD sideswiped by CAR2 turning left","CAR1 overtaking on left, failed to notice indication of vehicle in front  CAR2 turned left from near centre line  ENV: entering or leaving private house / farm","Dry","Overcast","Fine","Driveway","N/A","0","0","0","1866317","5714229",
"ACACIA BAY ROAD","","I","NORMAN SMITH ST","201132513","26/03/2011","Sat","0045","CAR1 WBD on NORMAN SMITH ST lost control turning right, CAR1 hit Post Or Pole on right hand bend ","CAR1 lost control when turning","Wet","Dark","Fine","T Type Junction","Stop Sign","0","0","0","1866358","5714309",
"ACACIA BAY ROAD","50","W","PAENOA ROAD","201205273","31/12/2012","Mon","2325","TAXI1 EBD on ACACIA BAY ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 Intoxicated non-driver, crossing heedless of traffic","Dry","Dark","Fine","Unknown","N/A","0","1","0","1865421","5713382",
"ACACIA BAY ROAD","","I","POIHIPI ROAD","201030048","13/01/2010","Wed","0515","CAR1 WBD on POIHIPI ROAD hit CAR2 turning right onto POIHIPI ROAD from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Dark","Fine","T Type Junction","Give Way Sign","0","0","0","1866749","5715142",
"ACACIA BAY ROAD","15","N","SCENIC HEIGHTS DRIVE","201104571","19/10/2011","Wed","1221","CAR1 NBD on ACACIA BAY ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing road, running heedless of traffic, pedestrian unsupervised child, pedestrian attention diverted eg cigarette, cell phone, music player","Wet","Overcast","Unknown","Unknown","N/A","0","0","1","1863650","5712092",
"ACACIA BAY ROAD","230","S","TE KOPUA ST","201204854","01/11/2012","Thu","","MOPED1 NBD on ACACIA BAY ROAD lost control turning left, MOPED1 hit Kerb","MOPED1 lost control when turning, new driver showed inexperience, driving unfamiliar vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1863704","5711403",
"ACACIA BAY ROAD","200","E","TUPARA ROAD","2831763","25/02/2008","Mon","2150","CAR1 WBD on ACACIA BAY ROAD hit rear end of CAR2 stop/slow for queue","CAR1 failed to notice car slowing  CAR3 attention diverted while trying to find intersection","Dry","Dark","Fine","Unknown","N/A","0","0","0","1864135","5712452",
"ACACIA BAY ROAD","440","S","WAKEMAN ROAD S","201239871","10/11/2012","Sat","2309","CAR1 NBD on ACACIA BAY ROAD lost control turning left, CAR1 hit Other","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning, suddenly braked","Dry","Dark","Fine","Unknown","N/A","0","0","0","1862748","5710022",
"ACACIA BAY ROAD","440","S","WAKEMAN ROAD S","201236651","30/07/2012","Mon","1600","TRUCK1 SBD on ACACIA BAY ROAD lost control turning right, TRUCK1 hit Cliff Bank on right hand bend ","TRUCK1 too fast entering corner, too far left/right, lost control while returning to seal from unsealed shoulder  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","0","0","1862748","5710022",
"ACACIA BAY ROAD","2800","S","WAKEMAN ROAD S","2943467","25/12/2009","Fri","1600","CAR1 NBD on ACACIA BAY ROAD lost control turning left, CAR1 hit Cliff Bank","CAR1 lost control when turning, showing off wheelspins etc","Dry","Bright Sun","Fine","Unknown","N/A","0","0","0","1862251","5708265",
"ACCESS ROAD","80","E","ACACIA BAY ROAD","201205774","29/12/2012","Sat","1531","CAR1 WBD on ACCESS ROAD while manoeuvring hit PEDESTRIAN crossing road","CAR1 didnt see/look behind when reversing/manoeuvering  PEDESTRIAN2 pedestrian behind reversing/manoeuvering vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1863100","5710700",
