"crashID" "meshblockID" "urbanRural"
201002802 1270800 "Independent Urban Area"
2902064 1279502 "Independent Urban Area"
201136362 1279042 "Independent Urban Area"
2841717 1279042 "Independent Urban Area"
201003229 1279501 "Independent Urban Area"
201204458 1279038 "Independent Urban Area"
2904624 1279042 "Independent Urban Area"
201043302 1275200 "Independent Urban Area"
201132513 1275200 "Independent Urban Area"
201205273 1279601 "Independent Urban Area"
201030048 1279023 "Independent Urban Area"
201104571 1279502 "Independent Urban Area"
201204854 1279403 "Independent Urban Area"
2831763 1279501 "Independent Urban Area"
201239871 1279201 "Rural area with moderate urban influence"
201236651 1279201 "Rural area with moderate urban influence"
2943467 1279201 "Rural area with moderate urban influence"
201205774 1279201 "Rural area with moderate urban influence"
2834271 1194500 "Main urban area"
201139521 1194500 "Main urban area"
201130394 1194500 "Main urban area"
2941997 1194200 "Main urban area"
201139012 1194300 "Main urban area"
201130393 1194200 "Main urban area"
201040824 1194200 "Main urban area"
201135704 1204401 "Main urban area"
201032662 1204401 "Main urban area"
201000164 1204401 "Main urban area"
2902741 1204100 "Main urban area"
2844219 1175201 "Main urban area"
201102309 1309400 "Independent Urban Area"
201204361 1309400 "Independent Urban Area"
2903545 1309400 "Independent Urban Area"
2804307 1309400 "Independent Urban Area"
201102097 1309400 "Independent Urban Area"
201039106 1309400 "Independent Urban Area"
201037909 1309400 "Independent Urban Area"
2805129 1309400 "Independent Urban Area"
201134544 1309400 "Independent Urban Area"
201003770 1224301 "Main urban area"
201043194 1224302 "Main urban area"
201034298 1224302 "Main urban area"
2903435 1212101 "Rural area with low urban influence"
2836960 1234500 "Main urban area"
201031254 1233200 "Main urban area"
2933062 1233600 "Main urban area"
2942548 1233600 "Main urban area"
201037120 1234100 "Main urban area"
2932207 1234100 "Main urban area"
2939694 1234100 "Main urban area"
201131211 1234100 "Main urban area"
201133228 1236000 "Main urban area"
201101503 1250100 "Rural area with moderate urban influence"
2803802 1300500 "Rural area with low urban influence"
201230500 1300500 "Rural area with low urban influence"
2905534 1300500 "Rural area with low urban influence"
201239375 1140100 "Independent Urban Area"
201231570 1308300 "Independent Urban Area"
2942517 1169500 "Main urban area"
201238784 1146500 "Independent Urban Area"
2932202 1307600 "Independent Urban Area"
201036086 1186000 "Rural area with moderate urban influence"
201103273 1263900 "Rural area with moderate urban influence"
201232645 1205049 "Main urban area"
201004798 1305904 "Independent Urban Area"
201037217 1305904 "Independent Urban Area"
2936774 1305903 "Independent Urban Area"
2837015 1205048 "Main urban area"
2938620 1265702 "Rural area with high urban influence"
201201918 1284100 "Independent Urban Area"
201234063 1125500 "Rural area with low urban influence"
2905591 1126200 "Rural area with moderate urban influence"
2931335 1125500 "Rural area with low urban influence"
2903411 1125500 "Rural area with low urban influence"
201240380 1125500 "Rural area with low urban influence"
2904530 1125500 "Rural area with low urban influence"
2945173 1125500 "Rural area with low urban influence"
201241287 1126400 "Rural area with low urban influence"
201037107 1126400 "Rural area with low urban influence"
201231556 1125500 "Rural area with low urban influence"
201136583 1125500 "Rural area with low urban influence"
201033064 1125500 "Rural area with low urban influence"
201005277 1125500 "Rural area with low urban influence"
201132515 1125500 "Rural area with low urban influence"
201031230 1125500 "Rural area with low urban influence"
201205479 1125500 "Rural area with low urban influence"
201043274 1125500 "Rural area with low urban influence"
2837416 1125500 "Rural area with low urban influence"
2804749 1125500 "Rural area with low urban influence"
2845621 1128100 "Rural area with low urban influence"
2903450 1128100 "Rural area with low urban influence"
2801119 1128100 "Rural area with low urban influence"
201034949 1126000 "Rural area with moderate urban influence"
201237223 1126000 "Rural area with moderate urban influence"
201103925 1125500 "Rural area with low urban influence"
2938372 1125500 "Rural area with low urban influence"
201000040 1128100 "Rural area with low urban influence"
2836665 1128100 "Rural area with low urban influence"
201006114 1128100 "Rural area with low urban influence"
2945129 1132501 "Rural area with moderate urban influence"
201136307 1132501 "Rural area with moderate urban influence"
201104712 1132501 "Rural area with moderate urban influence"
201030038 1126400 "Rural area with low urban influence"
2837826 1126400 "Rural area with low urban influence"
201104661 1126400 "Rural area with low urban influence"
201039383 1126500 "Rural area with low urban influence"
201201059 1131101 "Independent Urban Area"
2804355 1131000 "Independent Urban Area"
201231019 1131600 "Independent Urban Area"
201038700 1131000 "Independent Urban Area"
2837754 1131400 "Independent Urban Area"
2840797 1131500 "Independent Urban Area"
201239326 1130900 "Independent Urban Area"
201134227 1130900 "Independent Urban Area"
201102076 1131101 "Independent Urban Area"
201042812 1131800 "Independent Urban Area"
2935693 1279801 "Independent Urban Area"
201002371 1279802 "Independent Urban Area"
201231093 1279700 "Independent Urban Area"
2937075 1277402 "Rural area with low urban influence"
2903420 1279802 "Independent Urban Area"
201037963 1208900 "Highly rural/remote area"
201002211 1208500 "Rural area with moderate urban influence"
201201091 1208800 "Rural area with moderate urban influence"
2943182 1145600 "Independent Urban Area"
2842726 1145600 "Independent Urban Area"
2830965 1145500 "Independent Urban Area"
2902009 1145700 "Independent Urban Area"
2800072 1145700 "Independent Urban Area"
201003717 1145500 "Independent Urban Area"
2941915 1145600 "Independent Urban Area"
2806348 1311700 "Independent Urban Area"
2939749 1313611 "Independent Urban Area"
2839215 1313611 "Independent Urban Area"
201135566 1311900 "Independent Urban Area"
201030617 1312100 "Independent Urban Area"
201202251 1312200 "Independent Urban Area"
2842221 1311900 "Independent Urban Area"
201134994 1309003 "Independent Urban Area"
2840740 1309003 "Independent Urban Area"
2904580 1309300 "Independent Urban Area"
2902728 1309300 "Independent Urban Area"
201044585 1233200 "Main urban area"
2935136 1233200 "Main urban area"
2932324 1233300 "Main urban area"
2842789 1233300 "Main urban area"
2935145 1233300 "Main urban area"
201241310 1233300 "Main urban area"
2839946 1321500 "Rural area with moderate urban influence"
201004168 1233400 "Main urban area"
201036203 1235200 "Main urban area"
2906199 1325600 "Rural area with low urban influence"
2942669 1325600 "Rural area with low urban influence"
201043015 1321500 "Rural area with moderate urban influence"
2941828 1233200 "Main urban area"
201139377 1233200 "Main urban area"
201133304 1235000 "Main urban area"
2839953 1235000 "Main urban area"
201231191 1235000 "Main urban area"
201133399 1235000 "Main urban area"
2943308 1235000 "Main urban area"
