"meshblockID" "REGC06" "CON06" "MCON06" "AU06" "UA06" "GED02" "MED02" "TA06V2" "WARD06V2" "CB06V2" "TASUB06V2" "urbanRuralGrade" "mainUrbanArea" "code" "urbanRural" "area" "roadLength" "MB01" "AU06D" "UA06D" "TA06" "TA06D" "RC06" "RC06D" "DHB" "DHBD" "population" "X0.4.Years" "X10.14.Years" "X15.19.Years" "X20.24.Years" "X25.29.Years" "X30.34.Years" "X35.39.Years" "X40.44.Years" "X45.49.Years" "X50.54.Years" "X55.59.Years" "X5.9.Years" "X60.64.Years" "X65.Years.and.Over" "Asian.Ethnic.Groups" "European.Ethnic.Groups" "Female" "Male" "Maori.Ethnic.Group" "Median.Age" "MELAA.Ethnic.Groups" "Other.Ethnic.Groups" "Pacific.Peoples..Ethnic.Groups" "Total" "Total.People"
1253903 "04" "0403" "0402" "538741" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.160108984495712 1.28642161465346 NA NA NA NA NA NA NA NA NA 234 21 21 24 12 18 15 18 15 9 12 12 21 6 21 9 135 129 102 90 30 0 15 24 462 201
1225801 "04" "0403" "0402" "539400" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0441174311721073 0.161870506678547 NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 0
1257300 "04" "0403" "0402" "538742" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0295607594261399 0.591096672954403 NA NA NA NA NA NA NA NA NA 87 15 9 3 6 6 12 6 6 3 3 6 15 0 3 3 39 51 39 63 24 0 6 9 177 84
1224800 "04" "0403" "0402" "539400" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.296178967888002 0.77472713381383 NA NA NA NA NA NA NA NA NA 54 3 3 9 3 6 6 6 3 0 3 0 6 3 3 0 30 24 30 33 28 0 3 9 108 54
1230717 "04" "0403" "0402" "539310" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0336332706553476 0.502576450937342 NA NA NA NA NA NA NA NA NA 135 15 18 12 9 15 12 12 3 6 6 6 15 3 0 3 54 78 54 93 24 0 6 6 264 123
1254300 "04" "0403" "0402" "538741" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 1.46296944215742 1.90149773467015 NA NA NA NA NA NA NA NA NA 465 54 51 33 21 39 27 36 39 33 18 24 54 15 24 39 261 237 228 168 27 3 42 9 927 447
1301600 "04" "0404" "0403" "542562" "502" "048" "7" "025" "02503" "02502" "02599" "Highly rural/remote area" "" "G" "rural" 5.3919852300609 3.32317764366041 1301600 "Urewera" "Rural (Incl.some Off Shore Islands)" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0
1225200 "04" "0403" "0402" "539400" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0333401502071082 0.271985460807444 NA NA NA NA NA NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 NA NA NA NA NA 12 3
1330002 "04" "0404" "0403" "542550" "502" "048" "7" "025" "02504" "02503" "02501" "Rural area with moderate urban influence" "" "E" "rural" 247.622522647568 182.14848416951 1330002 "Matahina-Minginui" "Rural (Incl.some Off Shore Islands)" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 3
1218100 "04" "0403" "0402" "539100" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0752228448717942 0.328177708278302 NA NA NA NA NA NA NA NA NA 144 18 15 12 9 12 9 12 6 6 12 3 24 0 9 0 66 78 66 93 22 0 3 3 294 138
1230711 "04" "0403" "0402" "539310" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0506103029964599 0.0565416675746076 NA NA NA NA NA NA NA NA NA 54 9 3 6 9 6 0 0 3 3 6 0 3 0 3 0 24 30 21 24 21 0 3 3 105 51
1295600 "04" "0404" "0403" "542562" "502" "012" "7" "025" "02503" "02502" "02599" "Rural area with low urban influence" "" "F" "rural" 8.54067545766908 5.31332891137089 1295600 "Urewera" "Rural (Incl.some Off Shore Islands)" 25 "Whakatane District" 4 "Bay of Plenty Region" 7 "Bay of Plenty" 45 0 6 0 0 3 3 3 3 3 6 0 3 3 6 0 33 24 24 15 38 0 9 0 93 45
1219300 "04" "0403" "0402" "539100" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.106683925918813 0.181991371313861 NA NA NA NA NA NA NA NA NA 129 15 9 12 6 12 9 9 6 9 15 3 12 3 9 3 48 66 63 54 28 0 12 24 258 123
1256700 "04" "0403" "0402" "538742" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 3.32338343342752 1.51546970607241 NA NA NA NA NA NA NA NA NA 138 9 15 9 3 9 9 18 12 9 6 6 18 0 15 3 90 69 69 66 31 0 6 3 279 135
1230712 "04" "0403" "0402" "539310" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0259223557049799 0.370594834161547 NA NA NA NA NA NA NA NA NA 105 15 6 18 9 6 9 6 6 9 3 3 9 3 6 0 60 60 48 63 22 0 3 6 210 105
1224000 "04" "0403" "0402" "540200" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.102189105727271 0.306891058714422 NA NA NA NA NA NA NA NA NA 102 6 6 9 6 12 9 6 6 6 6 6 9 12 12 3 45 54 51 66 32 0 6 6 204 93
1256800 "04" "0403" "0402" "538742" "010" "048" "7" "024" "02401" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0542599907613341 0.45935335027377 NA NA NA NA NA NA NA NA NA 81 6 3 9 6 0 0 6 9 6 6 3 0 3 24 12 54 39 45 15 47 0 3 3 162 75
1226201 "04" "0403" "0402" "539400" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0372699568984416 0.270844883272373 NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0
1219401 "04" "0403" "0402" "539100" "010" "048" "7" "024" "02402" "02499" "02499" "Main urban area" "Rotorua" "A" "urban" 0.0319902492388566 0.302743932802462 NA NA NA NA NA NA NA NA NA 99 6 21 9 3 3 12 12 6 6 3 6 9 0 6 3 33 48 51 63 22 0 6 3 198 96
