"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"ABEL TASMAN DRIVE","200","E","ROTOTAI ROAD","201111704","22/04/2011","Fri","1900","CAR1 NBD on ABEL TASMAN DRIVE lost control turning right, CAR1 hit Fence, Other on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner","Dry","Dark","Fine","Unknown","Nil","0","1","0","1586443","5478163",
"ADAIR ROAD","3500","E","SH 6","201121595","26/03/2011","Sat","1920","CAR1 NBD on ADAIR ROAD lost control turning left","CAR1 alcohol test below limit, too fast entering corner, showing off wheelspins etc","Dry","Twilight","Fine","Unknown","N/A","0","2","3","1433864","5264083",
"ANISEED VALLEY ROAD","2700","S","PATON ROAD","201012367","09/07/2010","Fri","1306","MOTOR CYCLE1 NBD on ANISEED VALLEY ROAD lost control turning right on right hand bend ","MOTOR CYCLE1 lost control while returning to seal from unsealed shoulder","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1613029","5418547",
"APORO ROAD","100","N","MARRIAGES ROAD","201013116","06/10/2010","Wed","0700","SUV1 SBD on APORO ROAD lost control; went off road to left, SUV1 hit Ditch","SUV1 lost control","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1605922","5438182",
"APORO ROAD","800","N","MARRIAGES ROAD","201112936","15/07/2011","Fri","1520","TRUCK1 NBD on APORO ROAD lost control turning right on right hand bend ","TRUCK1 alcohol test above limit or test refused, lost control when turning","Dry","Bright Sun","Fine","Unknown","Nil","0","2","2","1605537","5438728",
"APORO ROAD","200","S","WILLIAMS ROAD","2813791","13/12/2008","Sat","2330","CAR1 SBD on APORO ROAD lost control; went off road to right, CAR1 hit Fence","CAR1 alcohol test above limit or test refused, fatigue (drowsy, tired, fell asleep)","Dry","Dark","Fine","Unknown","Nil","0","1","0","1604835","5439399",
"ARANUI ROAD","80","N","HIGGS ROAD","2813110","02/08/2008","Sat","0023","SUV1 SBD on ARANUI ROAD lost control; went off road to right, SUV1 hit Fence, House Or Bldg","SUV1 alcohol test below limit, too fast on straight, lost control avoiding another vehicle","Wet","Dark","Fine","Unknown","Nil","0","1","0","1607997","5433138",
"ARAPIKI ROAD","250","E","MAIN ROAD STOKE","2813263","28/10/2008","Tue","1735","CYCLIST1 (Age 18)WBD on ARAPIKI ROAD hit MOPED2 turning right onto ARAPIKI ROAD from the left","MOPED2 forbidden movements, failed to give way to traffic approaching/crossing from the right, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","T Type Junction","Nil","0","1","0","1620396","5427176",
"ARNOLD VALLEY ROAD","900","E","BLAIR ROAD","201221105","10/02/2012","Fri","1700","CAR1 EBD on ARNOLD VALLEY ROAD hit CAR2 head on","CAR1 on incorrect side of the island or median, overseas/migrant driver failed to adjust to NZ road rules and road conditions","Dry","Bright Sun","Fine","Unknown","N/A","0","1","2","1474435","5287356",
"ARNOLD VALLEY ROAD","340","S","MAORI CREEK ROAD","201221469","01/03/2012","Thu","1300","MOTOR CYCLE1 SBD on ARNOLD VALLEY ROAD missed inters or end of road","MOTOR CYCLE1 incorrect use of vehicle controls","Dry","Bright Sun","Fine","Unknown","N/A","0","1","0","1469030","5288726",
"ARNOLD VALLEY ROAD","1970","S","MAORI GULLY ROAD","201021155","10/02/2010","Wed","0800","load or trailer from TRUCK1 NBD on ARNOLD VALLEY ROAD hit CAR2  TRUCK1 went Over Bank","TRUCK1 lost control when turning  ENV: slippery","Wet","Overcast","Light Rain","Unknown","Nil","0","1","0","1468138","5292032",
"ATARAU ROAD","1130","N","BLACKBALL CRK BR","201020055","25/09/2010","Sat","0800","CAR1 SBD on ATARAU ROAD lost control on curve and hit TRUCK2 head on","CAR1 alcohol suspected, too fast entering corner, lost control when turning, new driver showed inexperience","Wet","Overcast","Light Rain","Unknown","N/A","2","1","2","1470030","5308802",
"ATARAU ROAD","5760","N","MAIN ROAD","2922211","03/05/2009","Sun","1410","MOTOR CYCLE1 EBD on ATARAU ROAD overtaking hit CAR2 turning right","CAR2 didnt see/look behind when changing lanes, position or direction  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","1","1","1471911","5311208",
"ATARAU ROAD","6600","N","MAIN ROAD","2922014","18/03/2009","Wed","2052","CAR1 NBD on ATARAU ROAD lost control turning right, CAR1 hit Fence, Tree on right hand bend ","CAR1 too fast entering corner, lost control under heavy braking  ENV: road slippery (rain)","Wet","Dark","Light Rain","Unknown","N/A","0","1","0","1472653","5311603",
"ATARAU ROAD","6900","N","MAIN ROAD","201123216","29/10/2011","Sat","2135","VAN1 WBD on ATARAU ROAD lost control turning right, VAN1 hit Tree, Ditch on right hand bend ","VAN1 lost control when turning, new driver showed inexperience, driver over-reacted","Wet","Dark","Light Rain","Unknown","N/A","0","2","0","1472915","5311580",
"ATARAU ROAD","380","S","MOONLIGHT CRK BR","2922995","10/10/2009","Sat","1945","CAR1 WBD on ATARAU ROAD lost control turning right, CAR1 hit Tree on right hand bend ","CAR1 too fast entering corner, lost control when turning, new driver showed inexperience","Dry","Twilight","Fine","Unknown","N/A","0","1","0","1474083","5311561",
"ATARAU ROAD","","A","ROUGH RIV BR","201022443","02/08/2010","Mon","0600","VAN1 WBD on ATARAU ROAD lost control turning right, VAN1 hit Bridge, Over Bank on right hand bend ","VAN1 lost control when turning, fatigue due to lack of sleep","Wet","Overcast","Heavy Rain","Unknown","Give Way Sign","0","1","0","1489017","5319904",
"ATARAU ROAD","6530","N","TAYLORVILLE BLACKBALL ROA","2821535","13/03/2008","Thu","2020","CAR1 NBD on ATARAU ROAD lost control turning right, CAR1 went Over Bank, Fence, Tree on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner, lost control when turning","Dry","Dark","Fine","Unknown","N/A","0","1","0","1472591","5311570",
"ATAWHAI CRESCENT","90","S","SH 6","201013758","19/08/2010","Thu","1510","SUV1 NBD on ATAWHAI CRESCENT hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 stepped out from behind vehicle, crossing road, running heedless of traffic, pedestrian to/from School bus","Dry","Overcast","Fine","Unknown","Nil","0","1","0","1626728","5435292",
"ATAWHAI DRIVE","260","S","SH 6","201010093","26/11/2010","Fri","0425","CAR1 NBD on ATAWHAI DRIVE lost control turning left, CAR1 hit Parked Vehicle","CAR1 alcohol test above limit or test refused, drugs suspected, too fast for conditions, inexperience, casualty thrown from vehicle","Dry","Dark","Fine","Unknown","Nil","1","1","0","1625135","5432564",
"AVONDALE ROAD","1430","S","SUMMERLANDS ROAD","2813410","27/09/2008","Sat","2200","SUV1 SBD on AVONDALE ROAD lost control turning right, SUV1 hit Guard Rail, Water/River on right hand bend ","SUV1 lost control due to road conditions  ENV: slippery","Wet","Dark","Heavy Rain","Unknown","Nil","0","1","0","1653965","5386887",
"AWATERE VALLEY ROAD","300","E","COW CREEK BR","201110014","22/02/2011","Tue","1745","SUV1 EBD on AWATERE VALLEY ROAD lost control turning right, SUV1 went Over Bank, Tree, Water/River on right hand bend ","SUV1 alcohol not suspected, tested and -ve (MoT use only), failed to notice bend in road, fatigue (drowsy, tired, fell asleep)","Dry","Overcast","Fine","Unknown","Nil","1","1","0","1663571","5371422",
"AWATERE VALLEY ROAD","2700","N","MEDWAY ROAD","201112769","11/10/2011","Tue","1515","VAN1 SBD on AWATERE VALLEY ROAD swinging wide hit VAN2 head on, VAN2 hit Fence","VAN1 swung wide on bend  VAN2 lost control avoiding another vehicle, suddenly swerved to avoid vehicle","Dry","Bright Sun","Fine","Unknown","Nil","0","1","2","1671972","5379147",
"BEACH ROAD","","I","SCHOOLHOUSE ROAD","2921210","06/02/2009","Fri","1415","MOTOR CYCLE1 NBD on BEACH ROAD lost control; went off road to right","MOTOR CYCLE1 suddenly swerved to avoid vehicle, misjudged intentions of another party, driver over-reacted","Dry","Bright Sun","Fine","T Type Junction","Nil","0","1","0","1656670","5309738",
"BEACH ROAD","120","W","WAIKARE ST","201211015","01/01/2012","Sun","0340","CYCLIST1 (Age 29)WBD on BEACH ROAD hit parked veh, CYCLIST1 hit Parked Vehicle","CYCLIST1 Intoxicated non-driver, inattentive, attention diverted","Wet","Dark","Light Rain","Unknown","Nil","0","1","0","1620464","5429790",
"BEDFORD ROAD","1000","N","SH 63","201013133","01/10/2010","Fri","2155","CAR1 SBD on BEDFORD ROAD lost control turning left","CAR1 alcohol test above limit or test refused, too fast entering corner","Dry","Dark","Fine","Unknown","Nil","0","1","0","1666439","5404665",
"BISLEY WALK","200","W","BEACH ROAD","2913764","31/12/2009","Thu","0305","CAR1 EBD on BISLEY WALK hit PEDESTRIAN","CAR1 alcohol test above limit or test refused, inattentive, intimidating driving, intentional or criminal  PEDESTRIAN2 pedestrian playing on road or unnecessarily on road","Dry","Dark","Fine","Unknown","Nil","0","1","0","1620724","5430141",
