driverCause,driverCauseCategory
101 - Alcohol suspected,Alcohol
102 - Alcohol test below limit,Not Alcohol
103 - Alcohol test above limit or test refused,Alcohol
104 - Alcohol test result unknown,Alcohol
"106 - Alcohol not suspected, tested and -ve (MoT use only)",Not Alcohol
108 - Drugs suspected,Drugs
109 - Drugs proven,Drugs
110 - Too fast for conditions,Too fast for Conditions
111 - Too fast entering corner,Too fast for Conditions
112 - Too fast on straight,Too fast for Conditions
113 - Too fast to give way at intersection,Too fast for Conditions
115 - Too fast passing stationary school bus,Too fast for Conditions
116 - Too fast at temporary speed limit,Too fast for Conditions
120 - Failed to keep left,Failed to Keep Left
121 - Swung wide on bend,Failed to Keep Left
122 - Swung wide at intersection,Failed to Keep Left
123 - Cutting corner on bend,Failed to Keep Left
124 - Cutting corner at intersection,Failed to Keep Left
125 - Failed to keep left on straight,Failed to Keep Left
128 - Wandering or wobbling,Failed to Keep Left
129 - Too far left/right,Failed to Keep Left
130 - Lost control,Lost Control
131 - Lost control when turning,Lost Control
132 - Lost control under heavy braking,Lost Control
133 - Lost control under heavy acceleration,Lost Control
134 - Lost control while returning to seal from unsealed shoulder,Lost Control
135 - Lost control due to road conditions,Lost Control
136 - Lost control due to vehicle fault,Lost Control
137 - Lost control avoiding another vehicle,Lost Control
138 - Lost control on unsealed road,Lost Control
142 - Didn't signal when turning left,Failed to Signal in Time
150 - Overtaking,Overtaking
151 - Overtaking line of traffic or queue,Overtaking
153 - Failed to notice oncoming traffic,Overtaking
155 - Overtaking at no passing line,Overtaking
156 - Overtaking with insufficient visibility,Overtaking
158 - Overtaking on left,Overtaking
159 - Cut in after overtaking,Overtaking
160 - Overtaking vehicle signaling right turn,Overtaking
170 - Wrong lane/turned from wrong position,Wrong Lane/Turned From Wrong Position
171 - Turned right from incorrect lane,Wrong Lane/Turned From Wrong Position
174 - Turned right from left side of road,Wrong Lane/Turned From Wrong Position
175 - Turned left from near centre line,Wrong Lane/Turned From Wrong Position
181 - Following too closely,In Line of Traffic
191 - Suddenly braked,Sudden Action
194 - Suddenly swerved to avoid pedestrian,Sudden Action
195 - Suddenly swerved to avoid animal,Sudden Action
197 - Suddenly swerved to avoid vehicle,Sudden Action
200 - Forbidden movements,Forbidden Movements
201 - Wrong way in one way street,Forbidden Movements
204 - Driving or riding on footpath,Forbidden Movements
205 - On incorrect side of the island or median,Forbidden Movements
300 - Failed to give way,Failed to Give Way
301 - Failed to give way at stop sign,Failed to Give Way
302 - Failed to give way at give way sign,Failed to Give Way
