"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT",,"EASTING","NORTHING"
"16 LINK 1","","A","HOBWEST OBR","201204341","26/07/2012","Thu","0525","CAR1 EBD on 16 LINK 1 cutting corner hit CAR2 head on","CAR1 alcohol test above limit or test refused, wrong way in one way street  CAR2 suddenly swerved to avoid vehicle","Dry","Dark","Fine","Unknown","N/A","0","3","1","1756601","5919211",
"2 OFF SBD","140","E","SH 1N","201003901","30/07/2010","Fri","1455","MOTOR CYCLE1 EBD on 2 OFF SBD lost control turning left, MOTOR CYCLE1 went Over Bank","MOTOR CYCLE1 new driver showed inexperience","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1778911","5877724",
"20 LINK 1 SBD","100","E","SH 20","201204725","14/08/2012","Tue","1811","CAR1 EBD on 20 LINK 1 SBD hit rear end of VAN2 stop/slow for queue","CAR1 following too closely","Dry","Dark","Fine","Unknown","Nil","0","1","2","1767987","5903921",
"ABBEY CAVES ROAD","1240","E","OLD PARUA BAY ROAD","201204909","04/11/2012","Sun","1730","CAR1 SBD on ABBEY CAVES ROAD lost control on curve and hit CAR2 head on","CAR1 too far left/right, fatigue due to long trip","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1722444","6047315",
"ABBOT ST","","I","BIGNELL ST","201013650","17/12/2010","Fri","0605","CAR1 SBD on ABBOT ST hit VAN2 crossing at right angle from right, VAN2 hit Fence","CAR1 drugs suspected, too fast to give way at intersection, inattentive: failed to notice intersection or its stop/give way control","Wet","Twilight","Light Rain","X Type Junction","Give Way Sign","0","1","1","1772877","5576213",
"ABEL SMITH ST","25","E","CUBA ST","201111316","11/02/2011","Fri","1414","TAXI1 WBD on ABEL SMITH ST hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 stepped out from behind vehicle, crossing road, running heedless of traffic","Dry","Bright Sun","Fine","Unknown","Nil","0","1","0","1748557","5426828",
"ABEL SMITH ST","","I","KENSINGTON ST","2912149","29/05/2009","Fri","1705","TAXI1 EBD on ABEL SMITH ST hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 stepped out from behind vehicle, crossing road, running heedless of traffic  ENV: visibility limited by parked vehicle","Dry","Overcast","Fine","T Type Junction","Nil","0","1","0","1748409","5426896",
"ABEL TASMAN DRIVE","200","E","ROTOTAI ROAD","201111704","22/04/2011","Fri","1900","CAR1 NBD on ABEL TASMAN DRIVE lost control turning right, CAR1 hit Fence, Other on right hand bend ","CAR1 alcohol test above limit or test refused, too fast entering corner","Dry","Dark","Fine","Unknown","Nil","0","1","0","1586443","5478163",
"ACACIA AVENUE","","I","MAPLE PLACE","201123060","10/12/2011","Sat","1445","CAR1 NBD on ACACIA AVENUE hit CAR2 turning right onto ACACIA AVENUE from the left","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","T Type Junction","Nil","0","1","0","1565909","5204534",
"ACACIA BAY ROAD","5","E","ALBERTA ST","2902064","23/03/2009","Mon","2004","VAN1 WBD on ACACIA BAY ROAD lost control but did not leave the road, VAN1 hit Traffic Island, Traffic Sign, Tree","VAN1 alcohol test above limit or test refused, illness and disability","Dry","Dark","Fine","T Type Junction","Nil","0","1","3","1863799","5712209",
"ACACIA BAY ROAD","","I","LOCHABER DRIVE","201204458","25/10/2012","Thu","1015","CYCLIST1 (Age 32)NBD on ACACIA BAY ROAD hit CAR2 merging from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Overcast","Fine","T Type Junction","Give Way Sign","0","1","0","1865828","5713686",
"ACACIA BAY ROAD","50","W","PAENOA ROAD","201205273","31/12/2012","Mon","2325","TAXI1 EBD on ACACIA BAY ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 Intoxicated non-driver, crossing heedless of traffic","Dry","Dark","Fine","Unknown","N/A","0","1","0","1865421","5713382",
"ACCENT DRIVE","","I","STANCOMBE ROAD","2804508","08/06/2008","Sun","1500","CAR1 EBD on ACCENT DRIVE hit CAR2 crossing at right angle from right","CAR1 alcohol test result unknown, did not stop at steady red light  CAR4 alcohol test below limit","Dry","Bright Sun","Fine","X Type Junction","Traffic Signal","0","1","1","1769928","5908142",
