"COUNT","Worst Inj. FSMN","State Highway","Crash Day","Crash Month","Crash Year","Crash Hour","Police District","Police Area","Police Station","Crash ID"
1,Fatal,No,01,01,2009,20,Central,"Central - Whanganui","Central - Whanganui - WHANGANUI",2910003
1,Fatal,No,01,01,2010,16,Southern,"Southern - Otago Rural","Southern - Otago Rural - QUEENSTOWN",201020001
1,Fatal,No,01,01,2011,01,Eastern,"Eastern - Hawkes Bay","Eastern - Hawkes Bay - HASTINGS",201110001
1,Fatal,No,01,01,2012,17,Central,"Central - Manawatu","Central - Manawatu - EKETAHUNA",201210001
1,Fatal,No,01,02,2008,12,Canterbury,"Canterbury - Northern Canterbury","Canterbury - Northern Canterbury - RANGIORA",2820011
1,Fatal,No,01,02,2008,15,Wellington,"Wellington - Kapiti-Mana","Wellington - Kapiti-Mana - WAITANGIRUA",2810009
1,Fatal,No,01,02,2008,19,Counties/Manukau,"Counties/Manukau - Manukau East","Counties/Manukau - Manukau East - OTARA",2800018
1,Fatal,No,01,02,2009,17,Central,"Central - Taranaki","Central - Taranaki - STRATFORD",2910015
1,Fatal,No,01,02,2011,08,Northland,"Northland - Whangarei","Northland - Whangarei - KAMO",201100015
1,Fatal,No,01,03,2010,21,Counties/Manukau,"Counties/Manukau - Manukau South","Counties/Manukau - Manukau South - PUKEKOHE",201000030
1,Fatal,No,01,03,2011,09,Counties/Manukau,"Counties/Manukau - Manukau East","Counties/Manukau - Manukau East - HOWICK",201100024
1,Fatal,No,01,04,2008,11,Canterbury,"Canterbury - Mid-South Canterbury","Canterbury - Mid-South Canterbury - TIMARU",2820031
1,Fatal,No,01,05,2008,04,Canterbury,"Canterbury - Mid-South Canterbury","Canterbury - Mid-South Canterbury - ASHBURTON",2820034
1,Fatal,No,01,05,2008,18,Counties/Manukau,"Counties/Manukau - Manukau West","Counties/Manukau - Manukau West - PAPATOETOE",2800065
1,Fatal,No,01,05,2009,12,Northland,"Northland - Far North","Northland - Far North - RUSSELL",2900075
1,Fatal,No,01,05,2009,16,Northland,"Northland - Far North","Northland - Far North - HOUHORA",2900076
1,Fatal,No,01,05,2011,11,Counties/Manukau,"Counties/Manukau - Manukau West","Counties/Manukau - Manukau West - OTAHUHU",201100046
1,Fatal,No,01,06,2011,13,Waikato,"Waikato - Hamilton City","Waikato - Hamilton City - HAMILTON NORTH",201100058
1,Fatal,No,01,06,2011,20,Central,"Central - Manawatu","Central - Manawatu - ROSSMONT",201110031
1,Fatal,No,01,07,2010,13,Waitemata,"Waitemata - North Shore","Waitemata - North Shore - BROWNS BAY",201000098
1,Fatal,No,01,07,2010,19,Bay Of Plenty,"Bay Of Plenty - Rotorua","Bay Of Plenty - Rotorua - ROTORUA",201000101
1,Fatal,No,01,08,2009,03,Bay Of Plenty,"Bay Of Plenty - Taupo","Bay Of Plenty - Taupo - TAUPO",2900122
1,Fatal,No,01,08,2009,22,Central,"Central - Whanganui","Central - Whanganui - RAETIHI",2910063
1,Fatal,No,01,08,2012,09,Central,"Central - Taranaki","Central - Taranaki - FITZROY",201210046
1,Fatal,No,01,10,2010,20,Canterbury,"Canterbury - Southern Canterbury","Canterbury - Southern Canterbury - LEESTON",201020057
1,Fatal,No,01,10,2010,20,Counties/Manukau,"Counties/Manukau - Manukau East","Counties/Manukau - Manukau East - OTARA",201000127
1,Fatal,No,01,12,2008,13,Bay Of Plenty,"Bay Of Plenty - Taupo","Bay Of Plenty - Taupo - TAUPO",2800151
1,Fatal,No,01,12,2010,00,Southern,"Southern - Southland","Southern - Southland - LUMSDEN",201020072
1,Fatal,No,01,12,2011,20,Southern,"Southern - Dunedin","Southern - Dunedin - DUNEDIN SOUTH",201120054
1,Fatal,No,01,12,2011,21,Waitemata,"Waitemata - Rodney","Waitemata - Rodney - OREWA",201100121
1,Fatal,No,01,12,2012,22,Central,"Central - Whanganui","Central - Whanganui - TAUMARUNUI",201210070
1,Fatal,No,01,12,2012,23,Waikato,"Waikato - Waikato East","Waikato - Waikato East - PAEROA",201200122
1,Fatal,No,02,01,2008,01,Wellington,"Wellington - Wairarapa","Wellington - Wairarapa - GREYTOWN",2810001
1,Fatal,No,02,01,2008,05,Tasman,"Tasman - West Coast","Tasman - West Coast - REEFTON",2820001
1,Fatal,No,02,01,2008,12,Canterbury,"Canterbury - Mid-South Canterbury","Canterbury - Mid-South Canterbury - TWIZEL",2820002
1,Fatal,No,02,01,2009,19,Bay Of Plenty,"Bay Of Plenty - Rotorua","Bay Of Plenty - Rotorua - ROTORUA",2900003
1,Fatal,No,02,01,2010,01,Bay Of Plenty,"Bay Of Plenty - Eastern Bay of Plenty","Bay Of Plenty - Eastern Bay of Plenty - OPOTIKI",201000001
1,Fatal,No,02,02,2008,08,Bay Of Plenty,"Bay Of Plenty - Taupo","Bay Of Plenty - Taupo - TAUPO",2800021
1,Fatal,No,02,02,2010,12,Waitemata,"Waitemata - North Shore","Waitemata - North Shore - NORTH SHORE",201000020
1,Fatal,No,02,02,2010,13,Bay Of Plenty,"Bay Of Plenty - Rotorua","Bay Of Plenty - Rotorua - ROTORUA",201000021
1,Fatal,No,02,03,2008,00,Central,"Central - Manawatu","Central - Manawatu - FOXTON",2810018
1,Fatal,No,02,03,2008,19,Tasman,"Tasman - West Coast","Tasman - West Coast - GREYMOUTH",2820021
1,Fatal,No,02,04,2010,01,Waikato,"Waikato - Waikato East","Waikato - Waikato East - MATAMATA",201000052
1,Fatal,No,02,04,2011,00,Canterbury,"Canterbury - Northern Canterbury","Canterbury - Northern Canterbury - OXFORD",201120014
1,Fatal,No,02,04,2011,16,Waitemata,"Waitemata - Waitakere","Waitemata - Waitakere - MASSEY",201100036
1,Fatal,No,02,06,2012,20,Eastern,"Eastern - Hawkes Bay","Eastern - Hawkes Bay - BAY VIEW",201210031
1,Fatal,No,02,07,2009,03,Eastern,"Eastern - Hawkes Bay","Eastern - Hawkes Bay - CLIVE",2910054
1,Fatal,No,02,07,2009,08,Waitemata,"Waitemata - Rodney","Waitemata - Rodney - WARKWORTH",2900109
1,Fatal,No,02,07,2011,01,Central,"Central - Taranaki","Central - Taranaki - WESTOWN",201110038
1,Fatal,No,02,08,2008,20,Waikato,"Waikato - Waikato West","Waikato - Waikato West - HUNTLY",2800112
1,Fatal,No,02,08,2012,14,Southern,"Southern - Southland","Southern - Southland - INVERCARGILL CENTRAL",201220040
1,Fatal,No,02,09,2010,07,Northland,"Northland - Far North","Northland - Far North - MANGONUI",201000117
1,Fatal,No,02,09,2011,21,Canterbury,"Canterbury - Mid-South Canterbury","Canterbury - Mid-South Canterbury - TEMUKA",201120039
1,Fatal,No,02,09,2012,02,Auckland,"Auckland - Auckland East","Auckland - Auckland East - ONEHUNGA",201200076
1,Fatal,No,02,09,2012,16,Waitemata,"Waitemata - Rodney","Waitemata - Rodney - OREWA",201200077
1,Fatal,No,02,10,2010,14,Northland,"Northland - Whangarei","Northland - Whangarei - WHANGAREI",201000131
1,Fatal,No,02,10,2011,03,Waikato,"Waikato - Hamilton City","Waikato - Hamilton City - HAMILTON CENTRAL",201100103
1,Fatal,No,02,11,2012,13,Canterbury,"Canterbury - Mid-South Canterbury","Canterbury - Mid-South Canterbury - ASHBURTON",201220055
1,Fatal,No,02,12,2008,20,Northland,"Northland - Whangarei","Northland - Whangarei - HIKURANGI",2800152
1,Fatal,No,03,01,2008,04,Bay Of Plenty,"Bay Of Plenty - Rotorua","Bay Of Plenty - Rotorua - ROTORUA",2800003
1,Fatal,No,03,02,2011,17,Auckland,"Auckland - Auckland Central","Auckland - Auckland Central - AUCKLAND CENTRAL",201100019
1,Fatal,No,03,03,2012,05,Auckland,"Auckland - Auckland East","Auckland - Auckland East - MOUNT WELLINGTON",201200026
1,Fatal,No,03,03,2012,12,Eastern,"Eastern - Hawkes Bay","Eastern - Hawkes Bay - HASTINGS",201210014
1,Fatal,No,03,03,2012,14,Southern,"Southern - Dunedin","Southern - Dunedin - GREEN ISLAND",201220010
1,Fatal,No,03,03,2012,23,Canterbury,"Canterbury - Mid-South Canterbury","Canterbury - Mid-South Canterbury - ASHBURTON",201220011
1,Fatal,No,03,04,2010,11,Canterbury,"Canterbury - Northern Canterbury","Canterbury - Northern Canterbury - PAPANUI",201020014
1,Fatal,No,03,04,2010,20,Northland,"Northland - Far North","Northland - Far North - KAITAIA",201000055
1,Fatal,No,03,05,2009,02,Canterbury,"Canterbury - Southern Canterbury","Canterbury - Southern Canterbury - HORNBY",2920021
1,Fatal,No,03,06,2008,19,Counties/Manukau,"Counties/Manukau - Manukau South","Counties/Manukau - Manukau South - PUKEKOHE",2800081
1,Fatal,No,03,06,2010,03,Canterbury,"Canterbury - Northern Canterbury","Canterbury - Northern Canterbury - NEW BRIGHTON",201020031
1,Fatal,No,03,06,2011,06,Central,"Central - Whanganui","Central - Whanganui - MARTON",201110032
1,Fatal,No,03,06,2012,02,Canterbury,"Canterbury - Southern Canterbury","Canterbury - Southern Canterbury - LINCOLN",201220031
1,Fatal,No,03,07,2009,00,Southern,"Southern - Southland","Southern - Southland - INVERCARGILL CENTRAL",2920031
1,Fatal,No,03,07,2009,22,Counties/Manukau,"Counties/Manukau - Manukau East","Counties/Manukau - Manukau East - OTARA",2900110
1,Fatal,No,03,07,2010,22,Wellington,"Wellington - Wellington","Wellington - Wellington - WELLINGTON",201010056
