"COUNT","Crash ID","State Highway","Worst Inj. FSMN","Crash Day","Crash Month","Crash Year","Crash Hour"
1,201000048,No,Fatal,23,03,2010,17
1,201000058,No,Fatal,06,04,2010,08
1,201000059,No,Fatal,06,04,2010,21
1,201000064,No,Fatal,17,04,2010,08
1,201000080,No,Fatal,15,05,2010,06
1,201000096,No,Fatal,18,06,2010,22
1,201000106,Yes,Fatal,24,07,2010,20
1,201000124,No,Fatal,17,09,2010,20
1,201000146,No,Fatal,17,11,2010,18
1,201000149,No,Fatal,11,11,2010,07
1,201000157,No,Fatal,09,12,2010,13
1,201000160,No,Fatal,16,12,2010,00
1,201001005,Yes,Serious,06,01,2010,16
1,201001101,Yes,Serious,08,01,2010,23
1,201001152,No,Serious,09,01,2010,00
1,201001162,No,Serious,15,01,2010,08
1,201001202,No,Serious,03,01,2010,17
1,201001207,Yes,Serious,05,02,2010,15
1,201001305,No,Serious,04,01,2010,09
1,201001472,No,Serious,02,02,2010,15
1,201001557,No,Serious,16,01,2010,06
1,201001713,No,Serious,01,02,2010,17
1,201001765,No,Serious,10,02,2010,21
1,201001809,No,Serious,15,02,2010,08
1,201001843,No,Serious,03,01,2010,16
1,201002029,No,Serious,22,02,2010,12
1,201002136,No,Serious,05,03,2010,23
1,201002158,No,Serious,26,02,2010,18
1,201002173,No,Serious,28,02,2010,02
1,201002175,No,Serious,12,04,2010,08
1,201002243,No,Serious,11,03,2010,17
1,201002250,No,Serious,09,04,2010,08
1,201002254,No,Serious,03,04,2010,16
1,201002260,No,Serious,12,03,2010,16
1,201002416,No,Serious,02,03,2010,12
1,201002457,No,Serious,24,01,2010,05
1,201002518,No,Serious,16,04,2010,23
1,201002522,No,Serious,18,03,2010,12
1,201002546,No,Serious,05,02,2010,15
1,201002688,No,Serious,16,04,2010,19
1,201002694,No,Serious,23,04,2010,20
1,201002788,No,Serious,04,02,2010,18
1,201002794,No,Serious,15,05,2010,08
1,201003196,No,Serious,12,04,2010,19
1,201003305,No,Serious,18,02,2010,13
1,201003306,No,Serious,12,05,2010,07
1,201003318,No,Serious,29,04,2010,21
1,201003511,No,Serious,27,05,2010,19
1,201003513,No,Serious,27,04,2010,11
1,201003519,Yes,Serious,29,05,2010,21
1,201003587,No,Serious,25,06,2010,20
1,201004015,No,Serious,14,07,2010,19
1,201004020,No,Serious,23,07,2010,12
1,201004034,No,Serious,24,06,2010,21
1,201004073,No,Serious,07,08,2010,18
1,201004074,No,Serious,13,08,2010,00
1,201004099,No,Serious,09,08,2010,05
1,201004202,No,Serious,10,07,2010,23
1,201004205,No,Serious,13,08,2010,11
1,201004253,No,Serious,25,07,2010,16
1,201004387,No,Serious,28,03,2010,19
1,201004391,No,Serious,01,08,2010,03
1,201004393,No,Serious,31,07,2010,11
1,201004446,No,Serious,04,05,2010,16
1,201004447,No,Serious,01,09,2010,20
1,201004454,No,Serious,19,06,2010,06
1,201004503,No,Serious,25,07,2010,11
1,201004519,No,Serious,01,08,2010,01
1,201004596,No,Serious,06,09,2010,19
1,201004693,No,Serious,11,08,2010,21
1,201004697,Yes,Serious,16,09,2010,07
1,201004701,Yes,Serious,16,06,2010,18
1,201004702,No,Serious,11,08,2010,00
1,201004706,No,Serious,05,04,2010,19
1,201004718,No,Serious,09,09,2010,13
1,201004729,No,Serious,20,09,2010,07
1,201004775,Yes,Serious,24,08,2010,08
1,201004776,Yes,Serious,20,09,2010,16
1,201004946,No,Serious,03,10,2010,13
1,201005043,Yes,Serious,07,10,2010,12
1,201005143,No,Serious,23,09,2010,15
