"COUNT","Crash ID","Driver Role","Driver Causes","Driver Cse Cats"
1,201000001,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000001,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000001,1,"134 - Lost control while returning to seal from unsealed shoulder",Lost Control
1,201000001,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201000001,1,"532 - Casualty thrown from vehicle",Miscellaneous Person
1,201000002,1,"121 - Swung wide on bend",Failed to Keep Left
1,201000002,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201000003,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000003,1,"402 - New driver showed inexperience",Inexperience
1,201000003,1,"412 - Fatigue due to lack of sleep",Fatigue (Drowsy
1,201000004,1,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201000004,1,"135 - Lost control due to road conditions",Lost Control
1,201000004,1,"359 - Attention diverted by cell phone",Attention Diverted By:
1,201000005,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000005,1,"135 - Lost control due to road conditions",Lost Control
1,201000006,1,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201000006,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000006,1,"158 - Overtaking on left",Overtaking
1,201000006,1,"381 - Misjudged speed, etc of vehicle coming from behind or alongside",Misjudged speed
1,201000007,1,"121 - Swung wide on bend",Failed to Keep Left
1,201000007,1,"404 - Overseas/migrant driver failed to adjust to NZ road rules and road conditions",Inexperience
1,201000008,1,"131 - Lost control when turning",Lost Control
1,201000008,1,"402 - New driver showed inexperience",Inexperience
1,201000010,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201000010,1,"112 - Too fast on straight",Too fast for Conditions
1,201000010,1,"130 - Lost control",Lost Control
1,201000010,1,"500 - Illness and disability",Illness and Disability
1,201000011,1,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201000011,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000011,1,"131 - Lost control when turning",Lost Control
1,201000012,1,"121 - Swung wide on bend",Failed to Keep Left
1,201000013,2,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201000013,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201000014,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201000014,1,"109 - Drugs proven",Alcohol or Drugs
1,201000014,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000014,1,"131 - Lost control when turning",Lost Control
1,201000015,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000015,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201000015,1,"500 - Illness and disability",Illness and Disability
1,201000016,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000016,1,"110 - Too fast for conditions",Too fast for Conditions
1,201000016,1,"330 - Inattentive",Inattentive: Failed to Notice
1,201000017,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000017,1,"135 - Lost control due to road conditions",Lost Control
1,201000018,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000018,1,"131 - Lost control when turning",Lost Control
1,201000019,1,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201000019,1,"110 - Too fast for conditions",Too fast for Conditions
1,201000019,1,"131 - Lost control when turning",Lost Control
1,201000020,1,"505 - Mental illness (eg depression)",Illness and Disability
1,201000020,1,"506 - Attempted suicide",Illness and Disability
1,201000020,1,"512 - Intentional collision",Intentional or Criminal
1,201000020,3,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201000021,1,"101 - Alcohol suspected",Alcohol or Drugs
1,201000021,1,"204 - Driving or riding on footpath",Forbidden Movements
1,201000021,1,"407 - Driver over-reacted",Inexperience
1,201000022,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000022,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000022,1,"130 - Lost control",Lost Control
1,201000023,1,"125 - Failed to keep left on straight",Failed to Keep Left
1,201000023,1,"330 - Inattentive",Inattentive: Failed to Notice
1,201000023,2,"197 - Suddenly swerved to avoid vehicle",Sudden Action
1,201000024,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201000024,1,"108 - Drugs suspected",Alcohol or Drugs
1,201000024,1,"400 - Inexperience",Inexperience
1,201000025,1,"153 - Failed to notice oncoming traffic",Overtaking
1,201000025,1,"353 - Attention diverted by other traffic",Attention Diverted By:
1,201000025,1,"400 - Inexperience",Inexperience
1,201000026,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000026,1,"110 - Too fast for conditions",Too fast for Conditions
1,201000026,1,"130 - Lost control",Lost Control
1,201000026,1,"205 - On incorrect side of the island or median",Forbidden Movements
1,201000026,1,"400 - Inexperience",Inexperience
1,201000027,1,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201000027,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000027,1,"130 - Lost control",Lost Control
1,201000028,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000029,1,"101 - Alcohol suspected",Alcohol or Drugs
1,201000029,1,"125 - Failed to keep left on straight",Failed to Keep Left
1,201000029,1,"505 - Mental illness (eg depression)",Illness and Disability
1,201000029,2,"102 - Alcohol test below limit",Alcohol or Drugs
1,201000029,2,"137 - Lost control avoiding another vehicle",Lost Control
1,201000030,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000030,1,"134 - Lost control while returning to seal from unsealed shoulder",Lost Control
1,201000031,1,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201000031,1,"129 - Too far left/right",Failed to Keep Left
1,201000031,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
