"COUNT","Crash ID","Driver Role","Driver Causes","Driver Cse Cats"
1,201000048,1,"501 - Illness with no warning (eg heart attack)",Illness and Disability
1,201000058,1,"376 - Didnt see/look when required to give way to ped",Did Not See or Look for Another Party Until Too Late
1,201000059,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000059,1,"109 - Drugs proven",Alcohol or Drugs
1,201000059,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000059,1,"130 - Lost control",Lost Control
1,201000059,1,"532 - Casualty thrown from vehicle",Miscellaneous Person
1,201000064,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000064,1,"130 - Lost control",Lost Control
1,201000064,1,"412 - Fatigue due to lack of sleep",Fatigue (Drowsy
1,201000096,1,"112 - Too fast on straight",Too fast for Conditions
1,201000096,1,"130 - Lost control",Lost Control
1,201000096,1,"514 - Evading enforcement",Intentional or Criminal
1,201000096,1,"517 - Stolen vehicle",Intentional or Criminal
1,201000106,1,"104 - Alcohol test result unknown",Alcohol or Drugs
1,201000106,1,"201 - Wrong way in one way street",Forbidden Movements
1,201000106,1,"505 - Mental illness (eg depression)",Illness and Disability
1,201000124,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201000124,1,"109 - Drugs proven",Alcohol or Drugs
1,201000124,1,"112 - Too fast on straight",Too fast for Conditions
1,201000124,1,"129 - Too far left/right",Failed to Keep Left
1,201000124,1,"130 - Lost control",Lost Control
1,201000124,1,"514 - Evading enforcement",Intentional or Criminal
1,201000149,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201000149,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201000157,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000157,1,"112 - Too fast on straight",Too fast for Conditions
1,201000157,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201000160,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201000160,1,"111 - Too fast entering corner",Too fast for Conditions
1,201000160,1,"131 - Lost control when turning",Lost Control
1,201000160,1,"402 - New driver showed inexperience",Inexperience
1,201001005,1,"331 - Failed to notice car slowing",Inattentive: Failed to Notice
1,201001005,1,"353 - Attention diverted by other traffic",Attention Diverted By:
1,201001101,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201001101,1,"129 - Too far left/right",Failed to Keep Left
1,201001152,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201001152,1,"111 - Too fast entering corner",Too fast for Conditions
1,201001152,1,"131 - Lost control when turning",Lost Control
1,201001162,2,"301 - Failed to give way at stop sign",Failed to Give Way
1,201001162,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201001202,1,"197 - Suddenly swerved to avoid vehicle",Sudden Action
1,201001207,1,"133 - Lost control under heavy acceleration",Lost Control
1,201001207,1,"181 - Following too closely",In Line of Traffic
1,201001207,1,"352 - Attention diverted by scenery or persons outside vehicle",Attention Diverted By:
1,201001305,1,"333 - Failed to notice indication of vehicle in front",Inattentive: Failed to Notice
1,201001305,1,"358 - Attention diverted by cigarette etc",Attention Diverted By:
1,201001472,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201001472,2,"404 - Overseas/migrant driver failed to adjust to NZ road rules and road conditions",Inexperience
1,201001557,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201001557,1,"322 - Did not stop at steady red light",Did not Stop
1,201001713,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201001713,1,"111 - Too fast entering corner",Too fast for Conditions
1,201001765,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201001765,1,"129 - Too far left/right",Failed to Keep Left
1,201001809,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201001809,1,"125 - Failed to keep left on straight",Failed to Keep Left
1,201001809,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201002029,1,"197 - Suddenly swerved to avoid vehicle",Sudden Action
1,201002136,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201002136,1,"111 - Too fast entering corner",Too fast for Conditions
1,201002136,1,"131 - Lost control when turning",Lost Control
1,201002158,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201002158,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201002173,2,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201002173,2,"322 - Did not stop at steady red light",Did not Stop
1,201002175,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201002175,2,"314 - Failed to give way when waved through by other driver",Failed to Give Way
1,201002175,2,"377 - Didnt see/look when visibility obstructed by other vehicles",Did Not See or Look for Another Party Until Too Late
1,201002250,2,"202 - When turning or u turning contrary to a sign",Forbidden Movements
1,201002250,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201002254,1,"131 - Lost control when turning",Lost Control
1,201002254,1,"427 - Foot slipped or got caught under pedal",Incorrect use of vehicle controls
1,201002416,1,"371 - Didnt see/look behind when reversing/manoeuvering",Did Not See or Look for Another Party Until Too Late
1,201002457,1,"517 - Stolen vehicle",Intentional or Criminal
1,201002522,2,"308 - Failed to give way at driveway",Failed to Give Way
1,201002522,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201002546,1,"322 - Did not stop at steady red light",Did not Stop
1,201002688,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201002688,1,"130 - Lost control",Lost Control
1,201002788,2,"102 - Alcohol test below limit",Alcohol or Drugs
1,201002788,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201002788,2,"377 - Didnt see/look when visibility obstructed by other vehicles",Did Not See or Look for Another Party Until Too Late
1,201002794,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201002794,2,"381 - Misjudged speed, etc of vehicle coming from behind or alongside",Misjudged speed
1,201003196,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201003305,1,"301 - Failed to give way at stop sign",Failed to Give Way
1,201003305,1,"382 - Misjudged speed etc of vehicle coming from another dirn with right of way",Misjudged speed
1,201003306,1,"135 - Lost control due to road conditions",Lost Control
1,201003318,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201003318,1,"111 - Too fast entering corner",Too fast for Conditions
1,201003511,1,"101 - Alcohol suspected",Alcohol or Drugs
1,201003511,1,"130 - Lost control",Lost Control
1,201003511,1,"423 - Wrong pedal",Incorrect use of vehicle controls
1,201003513,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201003513,2,"308 - Failed to give way at driveway",Failed to Give Way
1,201003513,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201003519,1,"110 - Too fast for conditions",Too fast for Conditions
1,201003519,1,"402 - New driver showed inexperience",Inexperience
1,201003587,2,"423 - Wrong pedal",Incorrect use of vehicle controls
1,201004015,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201004015,1,"111 - Too fast entering corner",Too fast for Conditions
1,201004015,1,"131 - Lost control when turning",Lost Control
1,201004074,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201004202,2,"102 - Alcohol test below limit",Alcohol or Drugs
1,201004202,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201004202,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201004205,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201004205,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201004253,2,"102 - Alcohol test below limit",Alcohol or Drugs
1,201004253,2,"363 - Attention diverted by driver dazzled by sun/lights",Attention Diverted By:
1,201004387,1,"131 - Lost control when turning",Lost Control
1,201004391,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201004391,1,"111 - Too fast entering corner",Too fast for Conditions
1,201004393,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201004393,1,"111 - Too fast entering corner",Too fast for Conditions
1,201004393,1,"131 - Lost control when turning",Lost Control
1,201004446,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201004446,2,"340 - Failed to notice lane use arrows / markings",Inattentive: Failed to Notice
1,201004446,2,"377 - Didnt see/look when visibility obstructed by other vehicles",Did Not See or Look for Another Party Until Too Late
1,201004447,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201004454,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201004503,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201004503,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201004519,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201004519,1,"132 - Lost control under heavy braking",Lost Control
1,201004519,1,"404 - Overseas/migrant driver failed to adjust to NZ road rules and road conditions",Inexperience
1,201004596,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201004596,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201004693,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201004693,1,"322 - Did not stop at steady red light",Did not Stop
1,201004697,1,"181 - Following too closely",In Line of Traffic
1,201004701,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201004701,1,"181 - Following too closely",In Line of Traffic
1,201004701,1,"200 - Forbidden movements",Forbidden Movements
1,201004702,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201004702,1,"351 - Attention diverted by passengers",Attention Diverted By:
1,201004706,1,"104 - Alcohol test result unknown",Alcohol or Drugs
1,201004706,1,"109 - Drugs proven",Alcohol or Drugs
1,201004706,1,"112 - Too fast on straight",Too fast for Conditions
1,201004718,1,"137 - Lost control avoiding another vehicle",Lost Control
1,201004718,1,"197 - Suddenly swerved to avoid vehicle",Sudden Action
1,201004729,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201004729,2,"377 - Didnt see/look when visibility obstructed by other vehicles",Did Not See or Look for Another Party Until Too Late
1,201004775,1,"136 - Lost control due to vehicle fault",Lost Control
1,201004776,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201004776,1,"514 - Evading enforcement",Intentional or Criminal
1,201004946,1,"131 - Lost control when turning",Lost Control
1,201004946,1,"404 - Overseas/migrant driver failed to adjust to NZ road rules and road conditions",Inexperience
1,201005043,1,"353 - Attention diverted by other traffic",Attention Diverted By:
1,201005143,1,"190 - Sudden action",Sudden Action
1,201005177,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201005177,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201005178,2,"302 - Failed to give way at give way sign",Failed to Give Way
1,201005181,2,"301 - Failed to give way at stop sign",Failed to Give Way
1,201005182,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201005310,1,"331 - Failed to notice car slowing",Inattentive: Failed to Notice
1,201005426,1,"132 - Lost control under heavy braking",Lost Control
1,201005426,1,"137 - Lost control avoiding another vehicle",Lost Control
1,201005426,1,"400 - Inexperience",Inexperience
1,201005495,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201005495,1,"111 - Too fast entering corner",Too fast for Conditions
1,201005500,1,"383 - Misjudged pedestrians movement or intention",Misjudged speed
1,201005514,1,"129 - Too far left/right",Failed to Keep Left
1,201005514,1,"370 - Did not see or look for other party until too late",Did Not See or Look for Another Party Until Too Late
1,201005568,1,"322 - Did not stop at steady red light",Did not Stop
1,201005568,2,"322 - Did not stop at steady red light",Did not Stop
1,201005715,1,"137 - Lost control avoiding another vehicle",Lost Control
1,201005741,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201005741,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201005755,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201005755,1,"322 - Did not stop at steady red light",Did not Stop
1,201005796,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201005796,1,"402 - New driver showed inexperience",Inexperience
1,201005820,1,"501 - Illness with no warning (eg heart attack)",Illness and Disability
1,201005823,1,"501 - Illness with no warning (eg heart attack)",Illness and Disability
1,201005824,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201005824,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201005867,1,"205 - On incorrect side of the island or median",Forbidden Movements
1,201005876,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201005876,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201006000,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201006000,1,"129 - Too far left/right",Failed to Keep Left
1,201006063,1,"353 - Attention diverted by other traffic",Attention Diverted By:
1,201006065,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201006065,2,"370 - Did not see or look for other party until too late",Did Not See or Look for Another Party Until Too Late
1,201006087,1,"151 - Overtaking line of traffic or queue",Overtaking
1,201006087,2,"314 - Failed to give way when waved through by other driver",Failed to Give Way
1,201006182,2,"381 - Misjudged speed, etc of vehicle coming from behind or alongside",Misjudged speed
1,201006184,1,"129 - Too far left/right",Failed to Keep Left
1,201006275,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201006275,1,"131 - Lost control when turning",Lost Control
1,201006277,2,"333 - Failed to notice indication of vehicle in front",Inattentive: Failed to Notice
1,201006502,1,"101 - Alcohol suspected",Alcohol or Drugs
1,201006502,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201006514,1,"129 - Too far left/right",Failed to Keep Left
1,201006514,1,"357 - Emotionally upset/road rage",Attention Diverted By:
1,201100005,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201100005,1,"112 - Too fast on straight",Too fast for Conditions
1,201100005,1,"130 - Lost control",Lost Control
1,201100005,1,"402 - New driver showed inexperience",Inexperience
1,201100005,1,"514 - Evading enforcement",Intentional or Criminal
1,201100005,1,"517 - Stolen vehicle",Intentional or Criminal
1,201100019,2,"174 - Turned right from left side of road",Wrong Lane/Turned From Wrong Position
1,201100019,2,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201100029,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201100029,1,"111 - Too fast entering corner",Too fast for Conditions
1,201100029,1,"131 - Lost control when turning",Lost Control
1,201100031,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201100031,1,"111 - Too fast entering corner",Too fast for Conditions
1,201100031,1,"131 - Lost control when turning",Lost Control
1,201100040,1,"181 - Following too closely",In Line of Traffic
1,201100040,1,"331 - Failed to notice car slowing",Inattentive: Failed to Notice
1,201100065,1,"102 - Alcohol test below limit",Alcohol or Drugs
1,201100065,1,"372 - Didnt see/look behind when changing lanes, position or direction",Did Not See or Look for Another Party Until Too Late
1,201100065,4,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201100072,1,"106 - Alcohol not suspected, tested and -ve (MoT use only)",Alcohol or Drugs
1,201100072,1,"112 - Too fast on straight",Too fast for Conditions
1,201100072,2,"102 - Alcohol test below limit",Alcohol or Drugs
1,201100072,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201100072,2,"353 - Attention diverted by other traffic",Attention Diverted By:
1,201100101,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201100101,1,"500 - Illness and disability",Illness and Disability
1,201100109,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201100109,1,"112 - Too fast on straight",Too fast for Conditions
1,201100109,1,"376 - Didnt see/look when required to give way to ped",Did Not See or Look for Another Party Until Too Late
1,201101115,1,"412 - Fatigue due to lack of sleep",Fatigue (Drowsy
1,201101217,1,"135 - Lost control due to road conditions",Lost Control
1,201101217,1,"414 - Fatigue due to working long hours before driving",Fatigue (Drowsy
1,201101255,1,"311 - Failed to give way to ped on footpath or verge",Failed to Give Way
1,201101256,2,"302 - Failed to give way at give way sign",Failed to Give Way
1,201101256,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201101293,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201101293,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201101328,1,"181 - Following too closely",In Line of Traffic
1,201101328,1,"331 - Failed to notice car slowing",Inattentive: Failed to Notice
1,201101355,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201101355,2,"375 - Didnt see/look when required to give way to traffic from another direction",Did Not See or Look for Another Party Until Too Late
1,201101355,2,"377 - Didnt see/look when visibility obstructed by other vehicles",Did Not See or Look for Another Party Until Too Late
1,201101718,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201101727,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201101767,1,"331 - Failed to notice car slowing",Inattentive: Failed to Notice
1,201101767,1,"410 - Fatigue (drowsy, tired, fell asleep)",Fatigue (Drowsy
1,201101839,1,"306 - Failed to give way to ped on a xing",Failed to Give Way
1,201101839,1,"376 - Didnt see/look when required to give way to ped",Did Not See or Look for Another Party Until Too Late
1,201101880,1,"103 - Alcohol test above limit or test refused",Alcohol or Drugs
1,201101880,1,"108 - Drugs suspected",Alcohol or Drugs
1,201101999,1,"132 - Lost control under heavy braking",Lost Control
1,201102178,2,"303 - Failed to give way when turning to non-turning traffic",Failed to Give Way
1,201102178,2,"363 - Attention diverted by driver dazzled by sun/lights",Attention Diverted By:
