"COUNT","Crash ID","Driver Sex","Driver Age","Driver Injury","Driver Role","Driver at Fault","Driver License Type","Driver Overseas Type","Driver Ethnicity"
1,201000001,Male, 23,Fatal,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000002,Male, 17,Serious,1,">1 party, dvr prime fault",Full,,European
1,201000002,Male, 68,Serious,2,">1 party, no dvr fault",Full,,European
1,201000003,Female, 18,Minor,1,"1 veh, dvr at fault",Learner,,NZ Maori
1,201000004,Female, 22,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000004,Male, 47,Minor,2,">1 party, no dvr fault",Overseas,Visitor,European
1,201000005,Male, 23,Fatal,1,">1 party, dvr prime fault",Unknown,,European
1,201000005,Male, 29,Minor,3,,Restricted,,European
1,201000005,Male, 78,Minor,2,">1 party, no dvr fault",Full,,European
1,201000006,Male, 20,Not injured,2,">1 party, no dvr fault",Full,,European
1,201000006,Male, 35,Fatal,1,">1 party, dvr prime fault",Full,,Asian
1,201000006,Male, 37,Not injured,3,">1 party, no dvr fault",Full,,Unknown
1,201000007,Male, 38,Fatal,2,">1 party, no dvr fault",Full,,European
1,201000007,Male, 40,Not injured,1,">1 party, dvr prime fault",Overseas,Visitor,European
1,201000008,Female, 16,Serious,1,">1 party, dvr prime fault",Restricted,,European
1,201000008,Male, 80,Not injured,2,">1 party, no dvr fault",Full,,European
1,201000009,Male, 27,Not injured,1,">1 party, dvr prime fault",Full,,Tongan
1,201000009,Male, 47,Not injured,2,">1 party, no dvr fault",Full,,NZ Maori
1,201000010,Male, 35,Serious,1,">1 party, dvr prime fault",Forbidden,,NZ Maori
1,201000011,Female, 21,Fatal,1,"1 veh, dvr at fault",Learner,,NZ Maori
1,201000012,Female, 22,Fatal,4,">1 party, no dvr fault",Full,,European
1,201000012,Female, 29,Not injured,3,">1 party, no dvr fault",Full,,European
1,201000012,Female, 47,Not injured,2,">1 party, no dvr fault",Full,,European
1,201000012,Male, 25,Serious,1,">1 party, dvr prime fault",Full,,Asian
1,201000013,Male, 45,Not injured,1,">1 party, no dvr fault",Full,,European
1,201000013,Male, 77,Fatal,2,">1 party, dvr prime fault",Full,,European
1,201000014,Male, 20,Fatal,1,"1 veh, dvr at fault",Restricted,,NZ Maori
1,201000015,Male, 44,Fatal,1,"1 veh, dvr at fault",Full,,Asian
1,201000016,Male, 36,Fatal,1,"1 veh, dvr at fault",Wrong Class,,European
1,201000017,Female, 61,Fatal,1,">1 party, dvr prime fault",Full,,Unknown
1,201000017,Male, 55,Minor,2,">1 party, no dvr fault",Full,,Unknown
1,201000018,Male, 51,Fatal,1,"1 veh, dvr at fault",Full,,Asian
1,201000019,Female, 42,Minor,2,">1 party, no dvr fault",Full,,NZ Maori
1,201000019,Female, 55,Fatal,1,">1 party, dvr prime fault",Expired,,NZ Maori
1,201000019,Male, 16,Not injured,3,">1 party, no dvr fault",Restricted,,NZ Maori
1,201000020,Female,,Not injured,7,">1 party, no dvr fault",Unknown,,Unknown
1,201000020,Male, 29,Not injured,5,">1 party, no dvr fault",Unknown,,Unknown
1,201000020,Male, 49,Not injured,4,">1 party, no dvr fault",Full,,Unknown
1,201000020,Male, 59,Not injured,1,">1 party, dvr prime fault",Full,,European
1,201000020,Male, 71,Fatal,3,">1 party, no dvr fault",Full,,European
1,201000020,Male, 82,Not injured,6,">1 party, no dvr fault",Full,,European
1,201000020,Male,,Not injured,2,">1 party, no dvr fault",Full,,Unknown
1,201000021,Female, 80,Fatal,1,">1 party, dvr prime fault",Unknown,,European
1,201000022,Male, 50,Minor,1,"1 veh, dvr at fault",Disqualified,,NZ Maori
1,201000023,Female, 25,Serious,1,">1 party, dvr prime fault",Full,,European
1,201000023,Male, 72,Not injured,2,">1 party, dvr part fault",Overseas,Visitor,European
1,201000024,Male, 23,Fatal,1,"1 veh, dvr at fault",Full,,Cook Islander
1,201000025,Male, 11,Fatal,1,">1 party, dvr prime fault",Never Licensed,,European
1,201000025,Male, 35,Not injured,2,">1 party, no dvr fault",Full,,European
1,201000026,Male, 18,Fatal,1,"1 veh, dvr at fault",Restricted,,NZ Maori
1,201000027,Male, 14,Fatal,1,"1 veh, dvr at fault",Learner,,European
1,201000028,Male, 24,Not injured,1,"1 veh, dvr at fault",Full,,European
1,201000029,Male, 27,Fatal,2,">1 party, dvr part fault",Full,,European
1,201000029,Male, 39,Serious,1,">1 party, dvr prime fault",Full,,European
1,201000029,Male, 68,Not injured,3,">1 party, no dvr fault",Full,,European
1,201000030,Male, 50,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000031,Male, 35,Fatal,1,"1 veh, dvr at fault",Full,,Unknown
1,201000032,Male, 62,Serious,2,">1 party, no dvr fault",Full,,European
1,201000032,Male, 68,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000033,Male, 18,Serious,2,">1 party, dvr prime fault",Full,,NZ Maori
1,201000033,Male, 49,Fatal,1,">1 party, no dvr fault",Full,,European
1,201000034,Male, 40,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000035,Male, 51,Fatal,1,">1 party, dvr prime fault",Overseas,Visitor,European
1,201000035,Male, 68,Not injured,2,">1 party, no dvr fault",Full,,NZ Maori
1,201000036,Female, 17,Serious,2,">1 party, no dvr fault",Full,,European
1,201000036,Female, 64,Minor,1,">1 party, dvr prime fault",Unknown,,Other
1,201000037,Male, 18,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000038,Male, 20,Not injured,1,"1 veh, dvr at fault",Restricted,,Asian
1,201000039,Male, 45,Not injured,1,">1 party, dvr prime fault",Full,,NZ Maori
1,201000040,Male, 31,Fatal,1,"1 veh, dvr at fault",Learner,,NZ Maori
1,201000042,Female, 46,Fatal,2,">1 party, no dvr fault",Full,,European
1,201000042,Male, 49,Minor,1,">1 party, dvr prime fault",Disqualified,,European
1,201000043,Male, 47,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000044,Male, 21,Fatal,1,"1 veh, dvr at fault",Restricted,,NZ Maori
1,201000045,Male, 42,Fatal,1,">1 party, no dvr fault",Full,,Other Pacific Islander
1,201000045,Male, 58,Not injured,2,">1 party, dvr prime fault",Full,,NZ Maori
1,201000046,Male, 49,Fatal,1,"1 veh, dvr at fault",Wrong Class,,NZ Maori
1,201000048,Female,,Minor,2,">1 party, no dvr fault",Unknown,,Unknown
1,201000048,Male, 87,Not injured,1,">1 party, dvr prime fault",Full,,European
1,201000049,Female, 42,Not injured,2,">1 party, dvr prime fault",Full,,NZ Maori
1,201000050,Male, 25,Minor,2,">1 party, no dvr fault",Full,,Asian
1,201000050,Male, 27,Fatal,1,">1 party, dvr prime fault",Full,,NZ Maori
1,201000051,Male, 18,Fatal,1,">1 party, dvr prime fault",Disqualified,,European
1,201000051,Male, 46,Not injured,2,">1 party, no dvr fault",Full,,European
1,201000052,Male, 18,Fatal,1,"1 veh, dvr at fault",Full,,Unknown
1,201000053,Female, 59,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000053,Male, 26,Minor,2,">1 party, no dvr fault",Full,,European
1,201000053,Male, 40,Not injured,4,">1 party, no dvr fault",Full,,European
1,201000053,Male, 56,Not injured,3,">1 party, no dvr fault",Full,,European
1,201000054,Female, 21,Serious,2,">1 party, no dvr fault",Restricted,,NZ Maori
1,201000054,Male, 22,Serious,1,">1 party, dvr prime fault",Disqualified,,NZ Maori
1,201000054,Male, 56,Not injured,3,">1 party, no dvr fault",Full,,European
1,201000055,Male, 50,Fatal,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000056,Male, 29,Minor,2,">1 party, no dvr fault",Full,,Asian
1,201000056,Male, 38,Fatal,1,">1 party, dvr prime fault",Learner,,European
1,201000057,Male, 47,Fatal,1,"1 veh, dvr at fault",Restricted,,European
1,201000058,Male, 45,Not injured,1,">1 party, dvr prime fault",Full,,Samoan
1,201000059,Male, 46,Fatal,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000060,Male, 72,Not injured,1,">1 party, no dvr fault",Full,,NZ Maori
1,201000061,Male, 19,Fatal,1,"1 veh, dvr at fault",Never Licensed,,NZ Maori
1,201000062,Male, 61,Not injured,1,">1 party, dvr prime fault",Full,,NZ Maori
1,201000064,Male, 28,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000065,Female, 35,Serious,2,">1 party, no dvr fault",Restricted,,European
1,201000065,Male, 79,Fatal,1,">1 party, dvr prime fault",Full,,NZ Maori
1,201000066,Female, 27,Serious,2,">1 party, no dvr fault",Restricted,,European
1,201000066,Male, 55,Fatal,1,">1 party, dvr prime fault",Forbidden,,NZ Maori
1,201000067,Male, 21,Fatal,2,">1 party, dvr prime fault",Learner,,NZ Maori
1,201000067,Male, 69,Not injured,1,">1 party, no dvr fault",Full,,European
1,201000068,Male, 37,Fatal,1,">1 party, dvr part fault",Full,,European
1,201000068,Male, 59,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201000069,Male, 23,Fatal,1,"1 veh, dvr at fault",Restricted,,European
1,201000070,Female, 16,Not injured,1,"1 veh, no dvr fault",Restricted,,Asian
1,201000071,Female, 78,Fatal,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000072,Male, 21,Serious,1,"1 veh, dvr at fault",Restricted,,Asian
1,201000073,Male, 67,Fatal,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000074,Female, 22,Fatal,1,"1 veh, dvr at fault",Restricted,,European
1,201000075,Male, 54,Fatal,1,"1 veh, dvr at fault",Disqualified,,NZ Maori
1,201000076,Female, 65,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000077,Female, 59,Fatal,1,">1 party, dvr prime fault",Full,,European
1,201000077,Male, 62,Not injured,3,">1 party, no dvr fault",Overseas,Visitor,European
1,201000077,Male, 68,Minor,2,">1 party, no dvr fault",Full,,European
1,201000078,Male, 18,Fatal,1,"1 veh, dvr at fault",Never Licensed,,European
1,201000079,Female, 40,Not injured,1,">1 party, no dvr fault",Full,,NZ Maori
1,201000079,Male, 92,Fatal,2,">1 party, dvr prime fault",Full,,European
1,201000080,Male, 35,Not injured,1,">1 party, no dvr fault",Full,,European
1,201000081,Male, 41,Not injured,1,">1 party, no dvr fault",Full,,European
1,201000082,Male,,Not injured,1,"1 veh, no dvr fault",Full,,European
1,201000083,Male, 17,Fatal,1,"1 veh, dvr at fault",Restricted,,European
1,201000084,Female, 24,Not injured,1,">1 party, dvr prime fault",Learner,,NZ Maori
1,201000084,Male, 39,Minor,2,">1 party, no dvr fault",Full,,European
1,201000085,Female, 36,Minor,1,">1 party, dvr prime fault",Full,,European
1,201000085,Female, 55,Serious,2,">1 party, no dvr fault",Full,,European
1,201000086,Male, 19,Fatal,1,"1 veh, no dvr fault",Full,,European
1,201000087,Male, 40,Fatal,1,"1 veh, no dvr fault",Full,,European
1,201000088,Female, 47,Fatal,1,">1 party, dvr prime fault",Overseas,Visitor,Asian
