"COUNT","Crash ID","Driver Sex","Driver Age","Driver Injury","Driver Role","Driver at Fault","Driver License Type","Driver Overseas Type","Driver Ethnicity"
1,201000048,Female,,Minor,2,">1 party, no dvr fault",Unknown,,Unknown
1,201000048,Male, 87,Not injured,1,">1 party, dvr prime fault",Full,,European
1,201000058,Male, 45,Not injured,1,">1 party, dvr prime fault",Full,,Samoan
1,201000059,Male, 46,Fatal,1,"1 veh, dvr at fault",Full,,NZ Maori
1,201000064,Male, 28,Fatal,1,"1 veh, dvr at fault",Full,,European
1,201000080,Male, 35,Not injured,1,">1 party, no dvr fault",Full,,European
1,201000096,Male, 15,Minor,1,">1 party, dvr prime fault",Never Licensed,,NZ Maori
1,201000106,Female, 48,Not injured,6,">1 party, no dvr fault",Restricted,,NZ Maori
1,201000106,Female, 53,Not injured,4,">1 party, no dvr fault",Full,,European
1,201000106,Male, 26,Not injured,5,">1 party, no dvr fault",Learner,,European
1,201000106,Male, 40,Not injured,2,">1 party, no dvr fault",Full,,Asian
1,201000106,Male, 87,Fatal,1,">1 party, dvr prime fault",Expired,,European
1,201000106,Male,,Not injured,3,">1 party, no dvr fault",Full,,Unknown
1,201000124,Male, 20,Minor,1,"1 veh, dvr at fault",Disqualified,,NZ Maori
1,201000146,Male, 51,Not injured,3,">1 party, no dvr fault",Forbidden,,Tongan
1,201000149,Female, 82,Fatal,1,">1 party, no dvr fault",Never Licensed,,NZ Maori
1,201000149,Male, 49,Not injured,3,">1 party, no dvr fault",Full,,European
1,201000149,Male, 61,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201000157,Male, 26,Not injured,2,">1 party, dvr prime fault",Restricted,,European
1,201000157,Male, 39,Fatal,1,">1 party, dvr part fault",Full,,European
1,201000160,Female, 16,Minor,1,"1 veh, dvr at fault",Learner,,European
1,201001005,Male, 75,Minor,1,">1 party, dvr prime fault",Full,,European
1,201001005,Unknown,,Not injured,2,">1 party, no dvr fault",Unknown,,Unknown
1,201001101,Male, 52,Serious,1,"1 veh, dvr at fault",Full,,Asian
1,201001152,Male, 31,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001162,Female, 16,Not injured,2,">1 party, dvr prime fault",Restricted,,European
1,201001202,Female, 44,Serious,1,"1 veh, dvr at fault",Full,,European
1,201001207,Female, 53,Not injured,6,">1 party, no dvr fault",Full,,NZ Maori
1,201001207,Female, 55,Minor,2,">1 party, no dvr fault",Full,,European
1,201001207,Male, 36,Not injured,3,">1 party, no dvr fault",Full,,European
1,201001207,Male, 42,Not injured,5,">1 party, no dvr fault",Full,,European
1,201001207,Male, 52,Not injured,4,">1 party, no dvr fault",Full,,European
1,201001207,Male, 69,Minor,1,">1 party, dvr prime fault",Full,,European
1,201001305,Female, 33,Minor,2,">1 party, dvr prime fault",Full,,NZ Maori
1,201001305,Male, 37,Not injured,1,">1 party, dvr part fault",Full,,NZ Maori
1,201001472,Male, 18,Not injured,2,">1 party, dvr prime fault",Overseas,,Asian
1,201001472,Male, 38,Not injured,1,">1 party, no dvr fault",Full,,Other
1,201001557,Female, 24,Serious,2,">1 party, no dvr fault",Full,,Unknown
1,201001557,Male, 18,Minor,1,">1 party, dvr prime fault",Disqualified,,Unknown
1,201001713,Male, 38,Serious,1,"1 veh, dvr at fault",Full,,Samoan
1,201001765,Female, 26,Serious,1,"1 veh, dvr at fault",Unknown,,European
1,201001809,Female, 42,Serious,1,">1 party, dvr prime fault",Never Licensed,,Other Pacific Islander
1,201001809,Male, 55,Serious,2,">1 party, no dvr fault",Expired,,European
1,201001843,Female, 21,Not injured,1,">1 party, no dvr fault",Learner,,NZ Maori
1,201002029,Female, 24,Minor,2,">1 party, no dvr fault",Restricted,,Other Pacific Islander
1,201002029,Male, 40,Minor,1,">1 party, dvr prime fault",Full,,Unknown
1,201002136,Male, 26,Serious,1,"1 veh, dvr at fault",Full,,Fijian
1,201002158,Female, 25,Not injured,2,">1 party, dvr prime fault",Unknown,,Asian
1,201002158,Male, 33,Serious,1,">1 party, no dvr fault",Overseas,,European
1,201002173,Female, 21,Serious,1,">1 party, no dvr fault",Restricted,,Asian
1,201002173,Male, 19,Not injured,2,">1 party, dvr prime fault",Restricted,,Unknown
1,201002175,Female, 25,Not injured,2,">1 party, dvr prime fault",Full,,Asian
1,201002175,Male, 22,Serious,1,">1 party, no dvr fault",Full,,European
1,201002243,Male, 48,Not injured,1,">1 party, no dvr fault",Full,,Asian
1,201002250,Male, 25,Not injured,2,">1 party, dvr prime fault",Overseas,Unknown,Other
1,201002254,Female, 51,Serious,1,"1 veh, dvr at fault",Full,,Asian
1,201002260,Male, 18,Not injured,1,">1 party, no dvr fault",Restricted,,Other
1,201002416,Male, 59,Not injured,1,">1 party, dvr prime fault",Full,,European
1,201002457,Male, 19,Serious,1,"1 veh, no dvr fault",Forbidden,,Other Pacific Islander
1,201002518,Unknown,,Not injured,1,">1 party, no dvr fault",Unknown,,Unknown
1,201002522,Male, 33,Not injured,2,">1 party, dvr prime fault",Full,,European
1,201002522,Male, 57,Serious,1,">1 party, no dvr fault",Full,,NZ Maori
1,201002546,Male, 17,Serious,1,">1 party, dvr prime fault",Restricted,,Fijian
1,201002546,Male, 27,Serious,2,">1 party, no dvr fault",Forbidden,,Asian
1,201002688,Male, 26,Serious,1,"1 veh, dvr at fault",Restricted,,NZ Maori
1,201002694,Male, 42,Not injured,1,">1 party, no dvr fault",Full,,European
1,201002788,Male, 23,Not injured,2,">1 party, dvr prime fault",Full,,European
