"COUNT","Crash ID","DrvPassOthr","Road User Sex","Road User Age","Road User Injury","Road User Role","Road User Driver at Fault","Road User Ethnicity"
1,201000001,Driver,Male, 23,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000002,Driver,Male, 17,Serious,1,">1 party, dvr prime fault",European
1,201000002,Driver,Male, 68,Serious,2,">1 party, no dvr fault",European
1,201000002,Passenger,Female, 68,Fatal,2,">1 party, no dvr fault",European
1,201000003,Driver,Female, 18,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000003,Passenger,Female, 17,Serious,1,"1 veh, dvr at fault",Unknown
1,201000003,Passenger,Female, 18,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000003,Passenger,Male, 17,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000004,Driver,Female, 22,Fatal,1,">1 party, dvr prime fault",European
1,201000004,Driver,Male, 47,Minor,2,">1 party, no dvr fault",European
1,201000004,Passenger,Female, 11,Minor,2,">1 party, no dvr fault",European
1,201000004,Passenger,Female, 47,Minor,2,">1 party, no dvr fault",European
1,201000004,Passenger,Male, 14,Minor,2,">1 party, no dvr fault",European
1,201000005,Driver,Male, 23,Fatal,1,">1 party, dvr prime fault",European
1,201000005,Driver,Male, 29,Minor,3,,European
1,201000005,Driver,Male, 78,Minor,2,">1 party, no dvr fault",European
1,201000006,Driver,Male, 20,Not injured,2,">1 party, no dvr fault",European
1,201000006,Driver,Male, 35,Fatal,1,">1 party, dvr prime fault",Asian
1,201000006,Driver,Male, 37,Not injured,3,">1 party, no dvr fault",Unknown
1,201000007,Driver,Male, 38,Fatal,2,">1 party, no dvr fault",European
1,201000007,Driver,Male, 40,Not injured,1,">1 party, dvr prime fault",European
1,201000007,Passenger,Female, 36,Serious,2,">1 party, no dvr fault",European
1,201000008,Driver,Female, 16,Serious,1,">1 party, dvr prime fault",European
1,201000008,Driver,Male, 80,Not injured,2,">1 party, no dvr fault",European
1,201000008,Passenger,Male, 16,Fatal,1,">1 party, dvr prime fault",European
1,201000008,Passenger,Male, 16,Serious,1,">1 party, dvr prime fault",European
1,201000009,Driver,Male, 27,Not injured,1,">1 party, dvr prime fault",Tongan
1,201000009,Driver,Male, 47,Not injured,2,">1 party, no dvr fault",NZ Maori
1,201000009,Passenger,Male, 29,Fatal,1,">1 party, dvr prime fault",Asian
1,201000010,Driver,Male, 35,Serious,1,">1 party, dvr prime fault",NZ Maori
1,201000010,Passenger,Female,  0,Serious,1,">1 party, dvr prime fault",NZ Maori
1,201000010,Passenger,Female, 37,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000011,Driver,Female, 21,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000012,Driver,Female, 22,Fatal,4,">1 party, no dvr fault",European
1,201000012,Driver,Female, 29,Not injured,3,">1 party, no dvr fault",European
1,201000012,Driver,Female, 47,Not injured,2,">1 party, no dvr fault",European
1,201000012,Driver,Male, 25,Serious,1,">1 party, dvr prime fault",Asian
1,201000013,Driver,Male, 45,Not injured,1,">1 party, no dvr fault",European
1,201000013,Driver,Male, 77,Fatal,2,">1 party, dvr prime fault",European
1,201000014,Driver,Male, 20,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000014,Passenger,Male, 18,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000014,Passenger,Male, 19,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000014,Passenger,Male, 21,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000015,Driver,Male, 44,Fatal,1,"1 veh, dvr at fault",Asian
1,201000016,Driver,Male, 36,Fatal,1,"1 veh, dvr at fault",European
1,201000017,Driver,Female, 61,Fatal,1,">1 party, dvr prime fault",Unknown
1,201000017,Driver,Male, 55,Minor,2,">1 party, no dvr fault",Unknown
1,201000018,Driver,Male, 51,Fatal,1,"1 veh, dvr at fault",Asian
1,201000019,Driver,Female, 42,Minor,2,">1 party, no dvr fault",NZ Maori
1,201000019,Driver,Female, 55,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000019,Driver,Male, 16,Not injured,3,">1 party, no dvr fault",NZ Maori
1,201000019,Passenger,Female, 23,Minor,3,">1 party, no dvr fault",NZ Maori
1,201000019,Passenger,Male, 54,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000020,Driver,Female,,Not injured,7,">1 party, no dvr fault",Unknown
1,201000020,Driver,Male, 29,Not injured,5,">1 party, no dvr fault",Unknown
1,201000020,Driver,Male, 49,Not injured,4,">1 party, no dvr fault",Unknown
1,201000020,Driver,Male, 59,Not injured,1,">1 party, dvr prime fault",European
1,201000020,Driver,Male, 71,Fatal,3,">1 party, no dvr fault",European
1,201000020,Driver,Male, 82,Not injured,6,">1 party, no dvr fault",European
1,201000020,Driver,Male,,Not injured,2,">1 party, no dvr fault",Unknown
1,201000021,Driver,Female, 80,Fatal,1,">1 party, dvr prime fault",European
1,201000022,Driver,Male, 50,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000022,Passenger,Male, 50,Fatal,1,"1 veh, dvr at fault",Other Pacific Islander
1,201000023,Driver,Female, 25,Serious,1,">1 party, dvr prime fault",European
1,201000023,Driver,Male, 72,Not injured,2,">1 party, dvr part fault",European
1,201000023,Passenger,Female, 66,Serious,2,">1 party, dvr part fault",European
1,201000023,Passenger,Female, 73,Fatal,2,">1 party, dvr part fault",European
1,201000024,Driver,Male, 23,Fatal,1,"1 veh, dvr at fault",Cook Islander
1,201000025,Driver,Male, 11,Fatal,1,">1 party, dvr prime fault",European
1,201000025,Driver,Male, 35,Not injured,2,">1 party, no dvr fault",European
1,201000026,Driver,Male, 18,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000027,Driver,Male, 14,Fatal,1,"1 veh, dvr at fault",European
1,201000028,Driver,Male, 24,Not injured,1,"1 veh, dvr at fault",European
1,201000028,Passenger,Male, 23,Fatal,1,"1 veh, dvr at fault",Unknown
1,201000029,Driver,Male, 27,Fatal,2,">1 party, dvr part fault",European
1,201000029,Driver,Male, 39,Serious,1,">1 party, dvr prime fault",European
1,201000029,Driver,Male, 68,Not injured,3,">1 party, no dvr fault",European
1,201000029,Passenger,Male, 29,Serious,2,">1 party, dvr part fault",European
1,201000030,Driver,Male, 50,Fatal,1,"1 veh, dvr at fault",European
1,201000031,Driver,Male, 35,Fatal,1,"1 veh, dvr at fault",Unknown
1,201000032,Driver,Male, 62,Serious,2,">1 party, no dvr fault",European
1,201000032,Driver,Male, 68,Fatal,1,">1 party, dvr prime fault",European
1,201000033,Driver,Male, 18,Serious,2,">1 party, dvr prime fault",NZ Maori
1,201000033,Driver,Male, 49,Fatal,1,">1 party, no dvr fault",European
1,201000034,Driver,Male, 40,Fatal,1,"1 veh, dvr at fault",European
1,201000035,Driver,Male, 51,Fatal,1,">1 party, dvr prime fault",European
1,201000035,Driver,Male, 68,Not injured,2,">1 party, no dvr fault",NZ Maori
1,201000035,Passenger,Female, 49,Serious,1,">1 party, dvr prime fault",European
1,201000036,Driver,Female, 17,Serious,2,">1 party, no dvr fault",European
1,201000036,Driver,Female, 64,Minor,1,">1 party, dvr prime fault",Other
1,201000036,Passenger,Female,  6,Serious,1,">1 party, dvr prime fault",European
1,201000036,Passenger,Female,  9,Serious,1,">1 party, dvr prime fault",European
1,201000036,Passenger,Male,  4,Fatal,1,">1 party, dvr prime fault",European
1,201000037,Driver,Male, 18,Fatal,1,"1 veh, dvr at fault",European
1,201000038,Driver,Male, 20,Not injured,1,"1 veh, dvr at fault",Asian
1,201000038,Passenger,Female, 20,Serious,1,"1 veh, dvr at fault",Asian
1,201000038,Passenger,Female, 25,Minor,1,"1 veh, dvr at fault",Asian
1,201000038,Passenger,Female, 30,Serious,1,"1 veh, dvr at fault",Asian
1,201000038,Passenger,Male,  2,Minor,1,"1 veh, dvr at fault",Asian
1,201000038,Passenger,Male,  6,Fatal,1,"1 veh, dvr at fault",Asian
1,201000039,Driver,Male, 45,Not injured,1,">1 party, dvr prime fault",NZ Maori
1,201000040,Driver,Male, 31,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000042,Driver,Female, 46,Fatal,2,">1 party, no dvr fault",European
1,201000042,Driver,Male, 49,Minor,1,">1 party, dvr prime fault",European
1,201000042,Passenger,Male, 50,Serious,1,">1 party, dvr prime fault",NZ Maori
1,201000043,Driver,Male, 47,Fatal,1,"1 veh, dvr at fault",European
1,201000044,Driver,Male, 21,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000044,Passenger,Female,  2,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000044,Passenger,Female, 26,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000044,Passenger,Male,  1,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000045,Driver,Male, 42,Fatal,1,">1 party, no dvr fault",Other Pacific Islander
1,201000045,Driver,Male, 58,Not injured,2,">1 party, dvr prime fault",NZ Maori
1,201000046,Driver,Male, 49,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000048,Driver,Female,,Minor,2,">1 party, no dvr fault",Unknown
1,201000048,Driver,Male, 87,Not injured,1,">1 party, dvr prime fault",European
1,201000048,Passenger,Female, 87,Fatal,1,">1 party, dvr prime fault",European
1,201000049,Driver,Female, 42,Not injured,2,">1 party, dvr prime fault",NZ Maori
1,201000049,Other,Male, 34,Fatal,1,">1 party, no dvr fault",European
1,201000050,Driver,Male, 25,Minor,2,">1 party, no dvr fault",Asian
1,201000050,Driver,Male, 27,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000050,Passenger,Male, 21,Minor,2,">1 party, no dvr fault",Asian
1,201000050,Passenger,Male, 24,Minor,2,">1 party, no dvr fault",Asian
1,201000050,Passenger,Male, 29,Minor,2,">1 party, no dvr fault",Asian
1,201000050,Passenger,Male, 35,Serious,2,">1 party, no dvr fault",Asian
1,201000051,Driver,Male, 18,Fatal,1,">1 party, dvr prime fault",European
1,201000051,Driver,Male, 46,Not injured,2,">1 party, no dvr fault",European
1,201000052,Driver,Male, 18,Fatal,1,"1 veh, dvr at fault",Unknown
1,201000053,Driver,Female, 59,Fatal,1,">1 party, dvr prime fault",European
1,201000053,Driver,Male, 26,Minor,2,">1 party, no dvr fault",European
1,201000053,Driver,Male, 40,Not injured,4,">1 party, no dvr fault",European
