"COUNT","Crash ID","DrvPassOthr","Road User Sex","Road User Age","Road User Injury","Road User Role","Road User Driver at Fault","Road User Ethnicity"
1,201000048,Driver,Female,,Minor,2,">1 party, no dvr fault",Unknown
1,201000048,Driver,Male, 87,Not injured,1,">1 party, dvr prime fault",European
1,201000048,Passenger,Female, 87,Fatal,1,">1 party, dvr prime fault",European
1,201000058,Driver,Male, 45,Not injured,1,">1 party, dvr prime fault",Samoan
1,201000059,Driver,Male, 46,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000059,Passenger,Male, 16,Minor,1,"1 veh, dvr at fault",European
1,201000064,Driver,Male, 28,Fatal,1,"1 veh, dvr at fault",European
1,201000080,Driver,Male, 35,Not injured,1,">1 party, no dvr fault",European
1,201000080,Other,Male, 82,Fatal,2,">1 party, dvr prime fault",Asian
1,201000096,Driver,Male, 15,Minor,1,">1 party, dvr prime fault",NZ Maori
1,201000096,Passenger,Female, 16,Serious,1,">1 party, dvr prime fault",NZ Maori
1,201000096,Passenger,Female, 17,Serious,1,">1 party, dvr prime fault",NZ Maori
1,201000096,Passenger,Female, 25,Fatal,1,">1 party, dvr prime fault",NZ Maori
1,201000106,Driver,Female, 48,Not injured,6,">1 party, no dvr fault",NZ Maori
1,201000106,Driver,Female, 53,Not injured,4,">1 party, no dvr fault",European
1,201000106,Driver,Male, 26,Not injured,5,">1 party, no dvr fault",European
1,201000106,Driver,Male, 40,Not injured,2,">1 party, no dvr fault",Asian
1,201000106,Driver,Male, 87,Fatal,1,">1 party, dvr prime fault",European
1,201000106,Driver,Male,,Not injured,3,">1 party, no dvr fault",Unknown
1,201000106,Passenger,Female, 65,Fatal,1,">1 party, dvr prime fault",Unknown
2,201000106,Passenger,Female,,Minor,4,">1 party, no dvr fault",Unknown
1,201000124,Driver,Male, 20,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000124,Passenger,Female, 19,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000124,Passenger,Female, 20,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000124,Passenger,Male, 20,Fatal,1,"1 veh, dvr at fault",NZ Maori
1,201000124,Passenger,Male, 26,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201000146,Driver,Male, 51,Not injured,3,">1 party, no dvr fault",Tongan
1,201000146,Other,Female, 27,Fatal,1,">1 party, no dvr fault",European
1,201000149,Driver,Female, 82,Fatal,1,">1 party, no dvr fault",NZ Maori
1,201000149,Driver,Male, 49,Not injured,3,">1 party, no dvr fault",European
1,201000149,Driver,Male, 61,Not injured,2,">1 party, dvr prime fault",European
1,201000157,Driver,Male, 26,Not injured,2,">1 party, dvr prime fault",European
1,201000157,Driver,Male, 39,Fatal,1,">1 party, dvr part fault",European
1,201000157,Passenger,Female, 51,Serious,1,">1 party, dvr part fault",Asian
1,201000160,Driver,Female, 16,Minor,1,"1 veh, dvr at fault",European
1,201000160,Passenger,Female, 16,Fatal,1,"1 veh, dvr at fault",European
1,201000160,Passenger,Male, 14,Minor,1,"1 veh, dvr at fault",NZ Maori
1,201000160,Passenger,Male, 16,Serious,1,"1 veh, dvr at fault",NZ Maori
1,201001005,Driver,Male, 75,Minor,1,">1 party, dvr prime fault",European
1,201001005,Driver,Unknown,,Not injured,2,">1 party, no dvr fault",Unknown
1,201001005,Passenger,Male, 19,Serious,1,">1 party, dvr prime fault",European
1,201001101,Driver,Male, 52,Serious,1,"1 veh, dvr at fault",Asian
1,201001152,Driver,Male, 31,Serious,1,"1 veh, dvr at fault",European
1,201001162,Driver,Female, 16,Not injured,2,">1 party, dvr prime fault",European
1,201001162,Other,Female, 37,Serious,1,">1 party, no dvr fault",European
1,201001202,Driver,Female, 44,Serious,1,"1 veh, dvr at fault",European
1,201001207,Driver,Female, 53,Not injured,6,">1 party, no dvr fault",NZ Maori
1,201001207,Driver,Female, 55,Minor,2,">1 party, no dvr fault",European
1,201001207,Driver,Male, 36,Not injured,3,">1 party, no dvr fault",European
1,201001207,Driver,Male, 42,Not injured,5,">1 party, no dvr fault",European
1,201001207,Driver,Male, 52,Not injured,4,">1 party, no dvr fault",European
1,201001207,Driver,Male, 69,Minor,1,">1 party, dvr prime fault",European
1,201001207,Passenger,Male, 72,Serious,2,">1 party, no dvr fault",European
1,201001305,Driver,Female, 33,Minor,2,">1 party, dvr prime fault",NZ Maori
1,201001305,Driver,Male, 37,Not injured,1,">1 party, dvr part fault",NZ Maori
1,201001472,Driver,Male, 18,Not injured,2,">1 party, dvr prime fault",Asian
1,201001472,Driver,Male, 38,Not injured,1,">1 party, no dvr fault",Other
1,201001472,Passenger,Male,,Serious,1,">1 party, no dvr fault",Unknown
1,201001557,Driver,Female, 24,Serious,2,">1 party, no dvr fault",Unknown
1,201001557,Driver,Male, 18,Minor,1,">1 party, dvr prime fault",Unknown
1,201001557,Passenger,Female, 18,Minor,1,">1 party, dvr prime fault",Other
1,201001713,Driver,Male, 38,Serious,1,"1 veh, dvr at fault",Samoan
1,201001713,Passenger,Male, 15,Minor,1,"1 veh, dvr at fault",Unknown
1,201001713,Passenger,Male, 19,Minor,1,"1 veh, dvr at fault",Unknown
1,201001713,Passenger,Male, 23,Serious,1,"1 veh, dvr at fault",Samoan
1,201001765,Driver,Female, 26,Serious,1,"1 veh, dvr at fault",European
1,201001765,Passenger,Female, 23,Minor,1,"1 veh, dvr at fault",European
1,201001809,Driver,Female, 42,Serious,1,">1 party, dvr prime fault",Other Pacific Islander
1,201001809,Driver,Male, 55,Serious,2,">1 party, no dvr fault",European
1,201001843,Driver,Female, 21,Not injured,1,">1 party, no dvr fault",NZ Maori
1,201002029,Driver,Female, 24,Minor,2,">1 party, no dvr fault",Other Pacific Islander
1,201002029,Driver,Male, 40,Minor,1,">1 party, dvr prime fault",Unknown
1,201002029,Passenger,Female, 28,Serious,2,">1 party, no dvr fault",Unknown
1,201002136,Driver,Male, 26,Serious,1,"1 veh, dvr at fault",Fijian
1,201002158,Driver,Female, 25,Not injured,2,">1 party, dvr prime fault",Asian
1,201002158,Driver,Male, 33,Serious,1,">1 party, no dvr fault",European
1,201002173,Driver,Female, 21,Serious,1,">1 party, no dvr fault",Asian
1,201002173,Driver,Male, 19,Not injured,2,">1 party, dvr prime fault",Unknown
1,201002173,Passenger,Female, 24,Minor,1,">1 party, no dvr fault",Asian
1,201002175,Driver,Female, 25,Not injured,2,">1 party, dvr prime fault",Asian
1,201002175,Driver,Male, 22,Serious,1,">1 party, no dvr fault",European
1,201002243,Driver,Male, 48,Not injured,1,">1 party, no dvr fault",Asian
1,201002250,Driver,Male, 25,Not injured,2,">1 party, dvr prime fault",Other
1,201002250,Other,Male, 32,Serious,1,">1 party, no dvr fault",European
