"CRASH ROAD","CRASH DIST","CRASH DIRN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT DESCR","CAUSES","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","EASTING","NORTHING","NOTHING"
"A C BATHS AVENUE","50","S","SPA ROAD","201002802","12/05/2010","Wed","0950","CAR1 NBD on A C BATHS AVENUE hit rear of CAR2 turning right from centre line","CAR1 following too closely, failed to notice car slowing  ENV: entering or leaving other commercial","Dry","Overcast","Fine","Driveway","N/A","0","0","2","1869065","5714428",
"ACACIA BAY ROAD","5","E","ALBERTA ST","2902064","23/03/2009","Mon","2004","VAN1 WBD on ACACIA BAY ROAD lost control but did not leave the road, VAN1 hit Traffic Island, Traffic Sign, Tree","VAN1 alcohol test above limit or test refused, illness and disability","Dry","Dark","Fine","T Type Junction","Nil","0","1","3","1863798","5712208",
"ACACIA BAY ROAD","100","S","KORUKOMOANA ROAD","201003229","21/06/2010","Mon","1702","CAR1 SBD on ACACIA BAY ROAD lost control; went off road to left, CAR1 hit Cliff Bank","CAR1 lost control, new driver showed inexperience, driver over-reacted","Dry","Twilight","Fine","Unknown","N/A","0","0","1","1864360","5712614",
"ACACIA BAY ROAD","","I","LOCHABER DRIVE","201204458","25/10/2012","Thu","1015","CYCLIST1 (Age 32)NBD on ACACIA BAY ROAD hit CAR2 merging from the left","CAR2 failed to give way at give way sign, didnt see/look when required to give way to traffic from another direction","Dry","Overcast","Fine","T Type Junction","Give Way Sign","0","1","0","1865828","5713686",
"ACACIA BAY ROAD","10","S","MANSELL ROAD","2904624","30/05/2009","Sat","1718","CAR1 SBD on ACACIA BAY ROAD hit rear of CAR2 turning right from centre line","CAR1 failed to notice indication of vehicle in front, attention diverted by cigarette etc  ENV: entering or leaving shopping complex","Wet","Dark","Light Rain","Driveway","Nil","0","0","1","1866246","5714091",
"ACACIA BAY ROAD","50","W","PAENOA ROAD","201205273","31/12/2012","Mon","2325","TAXI1 EBD on ACACIA BAY ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 Intoxicated non-driver, crossing heedless of traffic","Dry","Dark","Fine","Unknown","N/A","0","1","0","1865421","5713382",
"ACACIA BAY ROAD","15","N","SCENIC HEIGHTS DRIVE","201104571","19/10/2011","Wed","1221","CAR1 NBD on ACACIA BAY ROAD hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing road, running heedless of traffic, pedestrian unsupervised child, pedestrian attention diverted eg cigarette, cell phone, music player","Wet","Overcast","Unknown","Unknown","N/A","0","0","1","1863650","5712092",
"ACACIA BAY ROAD","230","S","TE KOPUA ST","201204854","01/11/2012","Thu","","MOPED1 NBD on ACACIA BAY ROAD lost control turning left, MOPED1 hit Kerb","MOPED1 lost control when turning, new driver showed inexperience, driving unfamiliar vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1863704","5711403",
"ACCESS ROAD","80","E","ACACIA BAY ROAD","201205774","29/12/2012","Sat","1531","CAR1 WBD on ACCESS ROAD while manoeuvring hit PEDESTRIAN crossing road","CAR1 didnt see/look behind when reversing/manoeuvering  PEDESTRIAN2 pedestrian behind reversing/manoeuvering vehicle","Dry","Bright Sun","Fine","Unknown","N/A","0","0","1","1863100","5710700",
"AERODROME ROAD","20","S","CHEROKEE PLACE","201000164","21/12/2010","Tue","1548","TRUCK2 turning right hit by oncoming MOTOR CYCLE1 NBD on AERODROME ROAD ","MOTOR CYCLE1 alcohol not suspected, tested and -ve (MoT use only), too fast for conditions  TRUCK2 failed to give way when turning to non-turning traffic, misjudged speed etc of vehicle coming from another dirn with right of way  ENV: entering or leaving other commercial","Dry","Bright Sun","Fine","Driveway","Nil","1","0","0","1882525","5826313",
"AERODROME ROAD","30","N","SH 29","2902741","01/05/2009","Fri","1645","CAR1 NBD on AERODROME ROAD hit CAR2 U-turning from same direction of travel","CAR1 too fast on straight  CAR2 didnt see/look behind when changing lanes, position or direction, misjudged speed, etc of vehicle coming from behind or alongside","Dry","Bright Sun","Fine","Unknown","N/A","0","0","2","1882552","5826478",
"ALEXANDER AVENUE","20","W","AMOKURA PLACE","201102309","26/04/2011","Tue","","SUV1 EBD on ALEXANDER AVENUE lost control; went off road to right, SUV1 hit Parked Vehicle","SUV1 attention diverted by animal or insect in vehicle  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","0","1","1950442","5790237",
"ALEXANDER AVENUE","50","W","AMOKURA PLACE","201204361","03/09/2012","Mon","1425","CAR1 WBD on ALEXANDER AVENUE hit PEDESTRIAN crossing road from left side","PEDESTRIAN2 crossing heedless of traffic  ENV: heavy rain","Wet","Overcast","Heavy Rain","Unknown","N/A","0","1","0","1950413","5790242",
"ALEXANDER AVENUE","","I","DOUGLAS ST","2903545","20/06/2009","Sat","1100","CAR2 turning right hit by oncoming CAR1 EBD on ALEXANDER AVENUE ","CAR2 failed to give way when turning to non-turning traffic, didnt see/look when visibility obstructed by other vehicles","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","2","1950369","5790250",
"ALEXANDER AVENUE","","I","DOUGLAS ST","2804307","04/08/2008","Mon","","CYCLIST1 (Age 15)NBD on DOUGLAS ST hit CAR2 crossing at right angle from right","CYCLIST1 driving or riding on footpath, failed to give way entering roadway not from driveway or intersection","Dry","Overcast","Fine","X Type Junction","Stop Sign","0","0","1","1950369","5790250",
"ALEXANDER AVENUE","","I","DOUGLAS ST","201102097","08/04/2011","Fri","1635","CAR1 WBD on ALEXANDER AVENUE hit CAR2 crossing at right angle from right","CAR2 did not stop at stop sign, didnt see/look when required to give way to traffic from another direction","Dry","Bright Sun","Fine","X Type Junction","Stop Sign","0","0","2","1950369","5790250",
"ALEXANDER AVENUE","40","W","VALLEY ROAD","2805129","25/08/2008","Mon","1640","MOTOR CYCLE1 WBD on ALEXANDER AVENUE overtaking hit CAR2 turning right","MOTOR CYCLE1 overtaking vehicle signaling right turn, failed to notice indication of vehicle in front  ENV: entering or leaving private house / farm","Dry","Bright Sun","Fine","Driveway","Nil","0","1","0","1950582","5790211",
