id,urbanity
2800002,Openroad
2800003,Openroad
2800006,Openroad
2800012,Urban
2800016,Openroad
2800017,Openroad
2800021,Openroad
2800027,Openroad
2800030,Openroad
2800031,Urban
2800036,Urban
2800038,Urban
2800039,Openroad
2800054,Urban
2800057,Openroad
2800062,Openroad
2800067,Openroad
2800071,Openroad
2800072,Urban
2800074,Urban
2800080,Openroad
2800082,Urban
2800086,Openroad
2800087,Openroad
2800088,Urban
2800095,Urban
2800097,Openroad
2800105,Openroad
2800107,Openroad
2800108,Urban
2800111,Openroad
2800115,Openroad
2800120,Openroad
2800129,Openroad
2800132,Openroad
2800136,Openroad
2800137,Openroad
2800145,Openroad
2800146,Openroad
2800150,Openroad
2800151,Openroad
2800153,Openroad
2800162,Openroad
2800167,Openroad
2800168,Openroad
2800173,Openroad
2800174,Urban
2801101,Openroad
2801102,Urban
2801103,Openroad
2801104,Urban
2801105,Urban
2801106,Openroad
2801110,Openroad
2801111,Openroad
2801112,Openroad
2801113,Openroad
2801114,Openroad
2801115,Urban
2801117,Openroad
2801118,Urban
2801119,Openroad
2801127,Urban
2801128,Urban
2801129,Urban
2801130,Openroad
2801131,Urban
2801132,Openroad
2801152,Openroad
2801153,Openroad
2801154,Urban
2801155,Urban
2801156,Urban
2801167,Openroad
2801168,Openroad
2801184,Urban
2801190,Openroad
2801191,Openroad
2801192,Openroad
2801193,Openroad
2801400,Openroad
2801406,Openroad
2801407,Openroad
2801411,Urban
2801413,Openroad
2801414,Urban
2801415,Urban
2801416,Urban
2801417,Urban
2801418,Openroad
2801419,Openroad
2801420,Urban
2801421,Urban
2801422,Openroad
2801445,Urban
2801450,Openroad
2801451,Urban
2801452,Urban
2801453,Openroad
2801454,Urban
2801455,Urban
2801456,Urban
2801457,Openroad
2801485,Openroad
2801486,Urban
2801487,Urban
2801488,Urban
2801489,Urban
2801490,Openroad
2801491,Openroad
2801492,Openroad
2801493,Openroad
2801494,Openroad
2801495,Urban
2801496,Openroad
2801497,Urban
2801498,Openroad
2801499,Openroad
2801500,Openroad
2801501,Urban
2801502,Openroad
2801503,Urban
2801504,Urban
2801505,Openroad
2801506,Urban
2801507,Urban
2801508,Openroad
2801513,Urban
2801522,Openroad
2801523,Openroad
2801557,Openroad
2801558,Urban
2801559,Openroad
2801560,Openroad
2801561,Urban
2801562,Openroad
2801571,Openroad
2801572,Openroad
2801573,Urban
2801574,Openroad
2801575,Urban
2801578,Urban
2801579,Urban
2801580,Urban
2801581,Openroad
2801582,Urban
2801583,Urban
2801584,Openroad
2801599,Openroad
2801822,Urban
2801913,Openroad
2801914,Urban
2801915,Urban
2801916,Openroad
2801917,Urban
2801918,Openroad
2801919,Urban
2801920,Urban
2801921,Openroad
2801922,Urban
2801923,Openroad
2801942,Openroad
2801947,Openroad
2801948,Openroad
2801949,Openroad
2801950,Openroad
2801963,Urban
2801964,Openroad
2801965,Openroad
2801966,Openroad
2801967,Urban
2801968,Openroad
2801969,Openroad
2801970,Openroad
2801971,Openroad
2801972,Urban
2801973,Urban
2801974,Urban
2801975,Urban
2801976,Urban
2801977,Openroad
2801978,Openroad
2801979,Openroad
2801980,Urban
2801981,Openroad
2801982,Openroad
2801983,Openroad
2801984,Urban
2801994,Openroad
2801995,Openroad
2801996,Openroad
2801997,Openroad
2801998,Openroad
2802300,Urban
2802307,Openroad
2802308,Openroad
2802309,Openroad
2802310,Urban
2802311,Openroad
2802312,Urban
2802313,Urban
2802314,Urban
2802315,Urban
2802316,Openroad
2802317,Urban
2802318,Openroad
2802319,Openroad
2802320,Openroad
2802321,Openroad
2802322,Urban
2802323,Urban
2802324,Openroad
2802327,Openroad
2802331,Openroad
2802363,Urban
2802364,Openroad
2802365,Urban
2802366,Urban
2802367,Openroad
2802368,Openroad
2802369,Urban
2802370,Openroad
2802371,Urban
2802372,Openroad
2802373,Urban
2802374,Urban
2802375,Urban
2802376,Urban
2802377,Urban
2802378,Urban
2802379,Urban
2802380,Openroad
2802387,Urban
2802391,Urban
2802396,Openroad
2802528,Openroad
2802529,Urban
2802530,Openroad
2802531,Openroad
2802532,Openroad
2802533,Urban
2802534,Openroad
2802535,Openroad
2802536,Openroad
2802537,Openroad
2802538,Urban
2802539,Urban
2802562,Urban
2802563,Openroad
2802564,Urban
2802565,Openroad
2802566,Openroad
2802572,Openroad
2802573,Openroad
2802574,Urban
2802592,Urban
2802593,Openroad
2802594,Urban
2802595,Urban
2802596,Openroad
2802597,Openroad
2802598,Openroad
2802599,Openroad
2802800,Openroad
2802801,Openroad
2802804,Openroad
2802815,Openroad
2802829,Urban
2802830,Urban
2802831,Openroad
2802832,Urban
2802833,Urban
2802834,Openroad
2802835,Urban
2802836,Urban
2802837,Urban
2802838,Urban
2802839,Urban
2802840,Urban
2802845,Openroad
2802846,Openroad
2802849,Urban
2802850,Openroad
2802851,Urban
2802852,Openroad
2802853,Openroad
2802854,Urban
2802855,Urban
2802856,Openroad
2802877,Urban
2802878,Openroad
2802885,Openroad
