mb06,Urban/Rural Profile Classification Category,Main urban areas
0000501,Area outside urban/rural profile,
0001202,Area outside urban/rural profile,
0002100,Area outside urban/rural profile,
0005300,Area outside urban/rural profile,
0012101,Area outside urban/rural profile,
0012601,Area outside urban/rural profile,
0016901,Area outside urban/rural profile,
0016902,Area outside urban/rural profile,
0017001,Area outside urban/rural profile,
0017003,Area outside urban/rural profile,
0017005,Area outside urban/rural profile,
0017006,Area outside urban/rural profile,
0017100,Area outside urban/rural profile,
0020500,Area outside urban/rural profile,
0029301,Area outside urban/rural profile,
0032502,Area outside urban/rural profile,
0044101,Area outside urban/rural profile,
0044202,Area outside urban/rural profile,
0044302,Area outside urban/rural profile,
0044402,Area outside urban/rural profile,
0048003,Area outside urban/rural profile,
0048101,Area outside urban/rural profile,
0048201,Area outside urban/rural profile,
0048301,Area outside urban/rural profile,
0048403,Area outside urban/rural profile,
0048405,Area outside urban/rural profile,
0048406,Area outside urban/rural profile,
0048601,Area outside urban/rural profile,
0048701,Area outside urban/rural profile,
0049105,Area outside urban/rural profile,
0049203,Area outside urban/rural profile,
0049205,Area outside urban/rural profile,
0050502,Area outside urban/rural profile,
0050707,Area outside urban/rural profile,
0051505,Area outside urban/rural profile,
0051508,Area outside urban/rural profile,
0051602,Area outside urban/rural profile,
0058901,Area outside urban/rural profile,
0058902,Area outside urban/rural profile,
0059000,Area outside urban/rural profile,
0059100,Area outside urban/rural profile,
0059302,Area outside urban/rural profile,
0061501,Area outside urban/rural profile,
0062001,Area outside urban/rural profile,
0073803,Area outside urban/rural profile,
0074002,Area outside urban/rural profile,
0076600,Area outside urban/rural profile,
0076703,Area outside urban/rural profile,
0076704,Area outside urban/rural profile,
0081700,Area outside urban/rural profile,
0081801,Area outside urban/rural profile,
0081805,Area outside urban/rural profile,
0081806,Area outside urban/rural profile,
0081807,Area outside urban/rural profile,
0081809,Area outside urban/rural profile,
0081810,Area outside urban/rural profile,
0081811,Area outside urban/rural profile,
0112900,Area outside urban/rural profile,
0137602,Area outside urban/rural profile,
0138807,Area outside urban/rural profile,
0138809,Area outside urban/rural profile,
0139600,Area outside urban/rural profile,
0141901,Area outside urban/rural profile,
0147104,Area outside urban/rural profile,
0147201,Area outside urban/rural profile,
0147202,Area outside urban/rural profile,
0147206,Area outside urban/rural profile,
0147208,Area outside urban/rural profile,
0147209,Area outside urban/rural profile,
0147211,Area outside urban/rural profile,
0147212,Area outside urban/rural profile,
0147213,Area outside urban/rural profile,
0147214,Area outside urban/rural profile,
0147215,Area outside urban/rural profile,
0147216,Area outside urban/rural profile,
0147302,Area outside urban/rural profile,
0147303,Area outside urban/rural profile,
0147305,Area outside urban/rural profile,
0147307,Area outside urban/rural profile,
0147309,Area outside urban/rural profile,
0147310,Area outside urban/rural profile,
0147311,Area outside urban/rural profile,
0147312,Area outside urban/rural profile,
0147314,Area outside urban/rural profile,
0147315,Area outside urban/rural profile,
0147316,Area outside urban/rural profile,
0147317,Area outside urban/rural profile,
0147319,Area outside urban/rural profile,
0147320,Area outside urban/rural profile,
0175104,Area outside urban/rural profile,
0181606,Area outside urban/rural profile,
0181610,Area outside urban/rural profile,
0181612,Area outside urban/rural profile,
0181613,Area outside urban/rural profile,
0181614,Area outside urban/rural profile,
0181615,Area outside urban/rural profile,
0181616,Area outside urban/rural profile,
0181617,Area outside urban/rural profile,
0210302,Area outside urban/rural profile,
0210701,Area outside urban/rural profile,
0213300,Area outside urban/rural profile,
0221303,Area outside urban/rural profile,
0221305,Area outside urban/rural profile,
0221306,Area outside urban/rural profile,
0304000,Area outside urban/rural profile,
0325401,Area outside urban/rural profile,
0326500,Area outside urban/rural profile,
0328200,Area outside urban/rural profile,
0329200,Area outside urban/rural profile,
0331100,Area outside urban/rural profile,
0333000,Area outside urban/rural profile,
0334500,Area outside urban/rural profile,
0335200,Area outside urban/rural profile,
0335500,Area outside urban/rural profile,
0335600,Area outside urban/rural profile,
0336800,Area outside urban/rural profile,
0337800,Area outside urban/rural profile,
0339200,Area outside urban/rural profile,
0339300,Area outside urban/rural profile,
