"meshblockID" "urbanRuralGrade" "code" "urbanRural"
234400 "Main urban area" "A" "urban"
529800 "Main urban area" "A" "urban"
537900 "Main urban area" "A" "urban"
374900 "Main urban area" "A" "urban"
598200 "Main urban area" "A" "urban"
3141902 "Main urban area" "A" "urban"
3146600 "Main urban area" "A" "urban"
17001 "Area outside urban/rural profile" "Z" NA
70904 "Rural area with high urban influence" "D" "rural"
17003 "Area outside urban/rural profile" "Z" NA
171906 "Main urban area" "A" "urban"
200 "Highly rural/remote area" "G" "rural"
1043804 "Independent Urban Area" "B" "urban"
354900 "Main urban area" "A" "urban"
453300 "Main urban area" "A" "urban"
100 "Highly rural/remote area" "G" "rural"
487300 "Main urban area" "A" "urban"
446500 "Main urban area" "A" "urban"
501 "Area outside urban/rural profile" "Z" NA
630100 "Main urban area" "A" "urban"
293700 "Main urban area" "A" "urban"
300 "Highly rural/remote area" "G" "rural"
118900 "Highly rural/remote area" "G" "rural"
212600 "Rural area with high urban influence" "D" "rural"
192100 "Main urban area" "A" "urban"
365800 "Main urban area" "A" "urban"
434402 "Main urban area" "A" "urban"
236707 "Main urban area" "A" "urban"
719304 "Main urban area" "A" "urban"
618900 "Main urban area" "A" "urban"
573300 "Main urban area" "A" "urban"
60700 "Rural area with moderate urban influence" "E" "rural"
440000 "Highly rural/remote area" "G" "rural"
517101 "Highly rural/remote area" "G" "rural"
181613 "Area outside urban/rural profile" "Z" NA
225302 "Main urban area" "A" "urban"
254200 "Main urban area" "A" "urban"
536602 "Main urban area" "A" "urban"
617400 "Main urban area" "A" "urban"
584502 "Main urban area" "A" "urban"
61400 "Highly rural/remote area" "G" "rural"
168100 "Main urban area" "A" "urban"
181702 "Main urban area" "A" "urban"
336600 "Main urban area" "A" "urban"
505900 "Main urban area" "A" "urban"
488002 "Main urban area" "A" "urban"
679810 "Main urban area" "A" "urban"
638901 "Main urban area" "A" "urban"
39100 "Rural area with low urban influence" "F" "rural"
125300 "Rural area with low urban influence" "F" "rural"
167100 "Main urban area" "A" "urban"
198401 "Main urban area" "A" "urban"
224235 "Main urban area" "A" "urban"
498300 "Main urban area" "A" "urban"
241600 "Main urban area" "A" "urban"
694000 "Main urban area" "A" "urban"
640600 "Main urban area" "A" "urban"
121200 "Rural area with low urban influence" "F" "rural"
1048406 "Highly rural/remote area" "G" "rural"
1045526 "Rural area with moderate urban influence" "E" "rural"
352100 "Main urban area" "A" "urban"
402700 "Main urban area" "A" "urban"
483900 "Main urban area" "A" "urban"
382100 "Main urban area" "A" "urban"
592900 "Main urban area" "A" "urban"
591200 "Main urban area" "A" "urban"
74208 "Rural area with high urban influence" "D" "rural"
174902 "Main urban area" "A" "urban"
1044100 "Independent Urban Area" "B" "urban"
224120 "Main urban area" "A" "urban"
440400 "Main urban area" "A" "urban"
487200 "Main urban area" "A" "urban"
608700 "Main urban area" "A" "urban"
375400 "Main urban area" "A" "urban"
711144 "Main urban area" "A" "urban"
76500 "Main urban area" "A" "urban"
175112 "Main urban area" "A" "urban"
193500 "Main urban area" "A" "urban"
1045508 "Independent Urban Area" "B" "urban"
413200 "Main urban area" "A" "urban"
543900 "Main urban area" "A" "urban"
556400 "Main urban area" "A" "urban"
620200 "Main urban area" "A" "urban"
571302 "Main urban area" "A" "urban"
112500 "Main urban area" "A" "urban"
313200 "Main urban area" "A" "urban"
346302 "Main urban area" "A" "urban"
434603 "Main urban area" "A" "urban"
533800 "Main urban area" "A" "urban"
280908 "Main urban area" "A" "urban"
592700 "Main urban area" "A" "urban"
293801 "Main urban area" "A" "urban"
62205 "Rural area with high urban influence" "D" "rural"
131801 "Highly rural/remote area" "G" "rural"
159801 "Main urban area" "A" "urban"
202102 "Main urban area" "A" "urban"
225805 "Main urban area" "A" "urban"
514000 "Main urban area" "A" "urban"
634342 "Area outside urban/rural profile" "Z" NA
519900 "Main urban area" "A" "urban"
640500 "Main urban area" "A" "urban"
66000 "Highly rural/remote area" "G" "rural"
127400 "Rural area with low urban influence" "F" "rural"
160403 "Main urban area" "A" "urban"
326200 "Main urban area" "A" "urban"
248300 "Main urban area" "A" "urban"
232502 "Main urban area" "A" "urban"
280600 "Main urban area" "A" "urban"
629800 "Main urban area" "A" "urban"
711034 "Main urban area" "A" "urban"
65101 "Highly rural/remote area" "G" "rural"
130700 "Rural area with low urban influence" "F" "rural"
165801 "Main urban area" "A" "urban"
515003 "Satellite Urban Area" "C" "urban"
329900 "Main urban area" "A" "urban"
498400 "Main urban area" "A" "urban"
678003 "Main urban area" "A" "urban"
626600 "Main urban area" "A" "urban"
372700 "Main urban area" "A" "urban"
114301 "Independent Urban Area" "B" "urban"
213200 "Rural area with high urban influence" "D" "rural"
1045600 "Rural area with low urban influence" "F" "rural"
316201 "Main urban area" "A" "urban"
402500 "Main urban area" "A" "urban"
533900 "Main urban area" "A" "urban"
633400 "Main urban area" "A" "urban"
621500 "Main urban area" "A" "urban"
289100 "Main urban area" "A" "urban"
77200 "Rural area with low urban influence" "F" "rural"
175805 "Main urban area" "A" "urban"
181303 "Main urban area" "A" "urban"
337200 "Main urban area" "A" "urban"
234500 "Main urban area" "A" "urban"
236712 "Main urban area" "A" "urban"
634348 "Area outside urban/rural profile" "Z" NA
583702 "Main urban area" "A" "urban"
587600 "Main urban area" "A" "urban"
78002 "Highly rural/remote area" "G" "rural"
173603 "Main urban area" "A" "urban"
181301 "Main urban area" "A" "urban"
353602 "Main urban area" "A" "urban"
401200 "Main urban area" "A" "urban"
1046203 "Highly rural/remote area" "G" "rural"
281518 "Main urban area" "A" "urban"
583704 "Main urban area" "A" "urban"
299300 "Main urban area" "A" "urban"
74400 "Highly rural/remote area" "G" "rural"
173501 "Main urban area" "A" "urban"
1048500 "Area outside urban/rural profile" "Z" NA
360700 "Main urban area" "A" "urban"
1047905 "Rural area with moderate urban influence" "E" "rural"
385200 "Main urban area" "A" "urban"
523800 "Main urban area" "A" "urban"
278511 "Main urban area" "A" "urban"
