"meshblockID" "urbanRural" "code"
234400 "Main urban area" "A"
529800 "Main urban area" "A"
537900 "Main urban area" "A"
374900 "Main urban area" "A"
598200 "Main urban area" "A"
3141902 "Main urban area" "A"
3146600 "Main urban area" "A"
17001 "Area outside urban/rural profile" "Z"
70904 "Rural area with high urban influence" "D"
17003 "Area outside urban/rural profile" "Z"
171906 "Main urban area" "A"
200 "Highly rural/remote area" "G"
1043804 "Independent Urban Area" "B"
200 "Highly rural/remote area" "G"
354900 "Main urban area" "A"
200 "Highly rural/remote area" "G"
453300 "Main urban area" "A"
100 "Highly rural/remote area" "G"
487300 "Main urban area" "A"
100 "Highly rural/remote area" "G"
446500 "Main urban area" "A"
501 "Area outside urban/rural profile" "Z"
630100 "Main urban area" "A"
100 "Highly rural/remote area" "G"
293700 "Main urban area" "A"
300 "Highly rural/remote area" "G"
118900 "Highly rural/remote area" "G"
212600 "Rural area with high urban influence" "D"
192100 "Main urban area" "A"
365800 "Main urban area" "A"
434402 "Main urban area" "A"
236707 "Main urban area" "A"
719304 "Main urban area" "A"
618900 "Main urban area" "A"
573300 "Main urban area" "A"
60700 "Rural area with moderate urban influence" "E"
440000 "Highly rural/remote area" "G"
517101 "Highly rural/remote area" "G"
181613 "Area outside urban/rural profile" "Z"
225302 "Main urban area" "A"
254200 "Main urban area" "A"
536602 "Main urban area" "A"
617400 "Main urban area" "A"
584502 "Main urban area" "A"
61400 "Highly rural/remote area" "G"
440000 "Highly rural/remote area" "G"
168100 "Main urban area" "A"
181702 "Main urban area" "A"
336600 "Main urban area" "A"
505900 "Main urban area" "A"
488002 "Main urban area" "A"
679810 "Main urban area" "A"
638901 "Main urban area" "A"
39100 "Rural area with low urban influence" "F"
125300 "Rural area with low urban influence" "F"
167100 "Main urban area" "A"
198401 "Main urban area" "A"
224235 "Main urban area" "A"
498300 "Main urban area" "A"
241600 "Main urban area" "A"
694000 "Main urban area" "A"
640600 "Main urban area" "A"
121200 "Rural area with low urban influence" "F"
1048406 "Highly rural/remote area" "G"
1045526 "Rural area with moderate urban influence" "E"
352100 "Main urban area" "A"
402700 "Main urban area" "A"
483900 "Main urban area" "A"
382100 "Main urban area" "A"
592900 "Main urban area" "A"
591200 "Main urban area" "A"
74208 "Rural area with high urban influence" "D"
174902 "Main urban area" "A"
1044100 "Independent Urban Area" "B"
224120 "Main urban area" "A"
440400 "Main urban area" "A"
487200 "Main urban area" "A"
608700 "Main urban area" "A"
375400 "Main urban area" "A"
711144 "Main urban area" "A"
76500 "Main urban area" "A"
175112 "Main urban area" "A"
193500 "Main urban area" "A"
1045508 "Independent Urban Area" "B"
413200 "Main urban area" "A"
543900 "Main urban area" "A"
556400 "Main urban area" "A"
620200 "Main urban area" "A"
571302 "Main urban area" "A"
112500 "Main urban area" "A"
1048406 "Highly rural/remote area" "G"
313200 "Main urban area" "A"
346302 "Main urban area" "A"
434603 "Main urban area" "A"
533800 "Main urban area" "A"
280908 "Main urban area" "A"
592700 "Main urban area" "A"
293801 "Main urban area" "A"
62205 "Rural area with high urban influence" "D"
131801 "Highly rural/remote area" "G"
159801 "Main urban area" "A"
202102 "Main urban area" "A"
225805 "Main urban area" "A"
514000 "Main urban area" "A"
634342 "Area outside urban/rural profile" "Z"
519900 "Main urban area" "A"
640500 "Main urban area" "A"
66000 "Highly rural/remote area" "G"
127400 "Rural area with low urban influence" "F"
160403 "Main urban area" "A"
326200 "Main urban area" "A"
248300 "Main urban area" "A"
232502 "Main urban area" "A"
280600 "Main urban area" "A"
629800 "Main urban area" "A"
711034 "Main urban area" "A"
65101 "Highly rural/remote area" "G"
130700 "Rural area with low urban influence" "F"
165801 "Main urban area" "A"
515003 "Satellite Urban Area" "C"
329900 "Main urban area" "A"
498400 "Main urban area" "A"
678003 "Main urban area" "A"
626600 "Main urban area" "A"
372700 "Main urban area" "A"
114301 "Independent Urban Area" "B"
213200 "Rural area with high urban influence" "D"
1045600 "Rural area with low urban influence" "F"
316201 "Main urban area" "A"
402500 "Main urban area" "A"
533900 "Main urban area" "A"
633400 "Main urban area" "A"
621500 "Main urban area" "A"
289100 "Main urban area" "A"
77200 "Rural area with low urban influence" "F"
175805 "Main urban area" "A"
181303 "Main urban area" "A"
337200 "Main urban area" "A"
234500 "Main urban area" "A"
236712 "Main urban area" "A"
634348 "Area outside urban/rural profile" "Z"
583702 "Main urban area" "A"
587600 "Main urban area" "A"
78002 "Highly rural/remote area" "G"
173603 "Main urban area" "A"
181301 "Main urban area" "A"
353602 "Main urban area" "A"
401200 "Main urban area" "A"
1046203 "Highly rural/remote area" "G"
281518 "Main urban area" "A"
583704 "Main urban area" "A"
299300 "Main urban area" "A"
74400 "Highly rural/remote area" "G"
173501 "Main urban area" "A"
1048500 "Area outside urban/rural profile" "Z"
360700 "Main urban area" "A"
1047905 "Rural area with moderate urban influence" "E"
385200 "Main urban area" "A"
523800 "Main urban area" "A"
278511 "Main urban area" "A"
608361 "Area outside urban/rural profile" "Z"
1253903 "Main urban area" "A"
1225801 "Main urban area" "A"
1257300 "Main urban area" "A"
1224800 "Main urban area" "A"
1230717 "Main urban area" "A"
1254300 "Main urban area" "A"
1349500 "Highly rural/remote area" "G"
1301600 "Highly rural/remote area" "G"
1225200 "Main urban area" "A"
1330002 "Rural area with moderate urban influence" "E"
1218100 "Main urban area" "A"
1230711 "Main urban area" "A"
767302 "Main urban area" "A"
1056602 "Highly rural/remote area" "G"
1295600 "Rural area with low urban influence" "F"
1219300 "Main urban area" "A"
1060211 "Highly rural/remote area" "G"
766700 "Main urban area" "A"
1256700 "Main urban area" "A"
1230712 "Main urban area" "A"
768008 "Main urban area" "A"
774449 "Main urban area" "A"
772602 "Main urban area" "A"
769011 "Main urban area" "A"
769012 "Main urban area" "A"
770300 "Main urban area" "A"
1060104 "Rural area with low urban influence" "F"
763700 "Main urban area" "A"
764202 "Highly rural/remote area" "G"
774439 "Main urban area" "A"
770500 "Main urban area" "A"
769022 "Main urban area" "A"
1224000 "Main urban area" "A"
1256800 "Main urban area" "A"
1226201 "Main urban area" "A"
1219401 "Main urban area" "A"
1394100 "Highly rural/remote area" "G"
1033300 "Independent Urban Area" "B"
1394000 "Highly rural/remote area" "G"
1280802 "Highly rural/remote area" "G"
772601 "Main urban area" "A"
774303 "Main urban area" "A"
1028802 "Highly rural/remote area" "G"
773815 "Main urban area" "A"
770400 "Main urban area" "A"
1394200 "Highly rural/remote area" "G"
1185800 "Rural area with moderate urban influence" "E"
1394804 "Highly rural/remote area" "G"
1092402 "Independent Urban Area" "B"
1031600 "Independent Urban Area" "B"
1110000 "Rural area with low urban influence" "F"
949700 "Main urban area" "A"
1092700 "Rural area with low urban influence" "F"
1097400 "Rural area with low urban influence" "F"
949602 "Main urban area" "A"
1109300 "Rural area with low urban influence" "F"
1281602 "Rural area with moderate urban influence" "E"
1031701 "Independent Urban Area" "B"
950000 "Main urban area" "A"
1186100 "Rural area with low urban influence" "F"
912600 "Main urban area" "A"
915300 "Main urban area" "A"
885200 "Main urban area" "A"
919100 "Main urban area" "A"
860500 "Rural area with low urban influence" "F"
1193402 "Rural area with moderate urban influence" "E"
919000 "Main urban area" "A"
1192400 "Rural area with high urban influence" "D"
916200 "Main urban area" "A"
921603 "Main urban area" "A"
84900 "Main urban area" "A"
439604 "Highly rural/remote area" "G"
157400 "Main urban area" "A"
2785100 "Independent Urban Area" "B"
2789700 "Independent Urban Area" "B"
203300 "Main urban area" "A"
2795700 "Independent Urban Area" "B"
2775701 "Independent Urban Area" "B"
425701 "Main urban area" "A"
2795400 "Independent Urban Area" "B"
2775300 "Independent Urban Area" "B"
420100 "Main urban area" "A"
2774905 "Independent Urban Area" "B"
2795500 "Independent Urban Area" "B"
463200 "Main urban area" "A"
2794100 "Independent Urban Area" "B"
2780800 "Independent Urban Area" "B"
558800 "Main urban area" "A"
2780900 "Independent Urban Area" "B"
2794200 "Independent Urban Area" "B"
2356900 "Rural area with moderate urban influence" "E"
2187803 "Main urban area" "A"
573900 "Main urban area" "A"
2794300 "Independent Urban Area" "B"
2775600 "Independent Urban Area" "B"
2192302 "Main urban area" "A"
2215000 "Main urban area" "A"
2788000 "Independent Urban Area" "B"
2794400 "Independent Urban Area" "B"
2216200 "Main urban area" "A"
2365704 "Main urban area" "A"
2366202 "Main urban area" "A"
